Sno,Candidate∇,Adilabad,Party,Criminal Case,Education,Total Assets,Liabilities
287,MANSUKHBHAI DHANJIBHAI VASAVA,Koraput,BJP,0,Graduate,"Rs 24,41,000","Rs 8,33,462"
288,Mausam Noor,Korba,INC,0,Graduate Professional,"Rs 18,47,359","Rs 2,34,488"
289,Meena Singh,Kota,JD(U),0,Graduate,"Rs 4,24,36,500",Rs 0
290,MEENAKSHI NATRAJAN,Kottayam,INC,0,Post Graduate,"Rs 11,26,966",Rs 0
291,MEIRA KUMAR,Kozhikode,INC,0,Post Graduate,"Rs 10,15,65,500",Rs 0
292,MIRZA MEHBOOB BEG,Krishnagiri,JKN,0,Graduate Professional,"Rs 48,50,000",Rs 0
293,MITHLESH,Krishnanagar,SP,0,Graduate,"Rs 80,35,655","Rs 17,46,024"
294,MOHAMMAD ASRARUL HAQUE,Kurnool,INC,0,Post Graduate,"Rs 36,46,860",Rs 0
295,MOHAMMED AZHARUDDIN,Kurukshetra,INC,0,Graduate,"Rs 2,52,33,948","Rs 5,65,160"
296,Mohan Jena,Kushi Nagar,BJD,0,Post Graduate,"Rs 30,46,404",Rs 0
297,MOHINDER SINGH KAYPEE,Ladakh,INC,0,Graduate Professional,"Rs 4,81,96,591","Rs 1,25,000"
298,Muhammed Hamdulla Sayeed A.B.,Lakhimpur,INC,0,Graduate Professional,"Rs 2,09,77,767",Rs 0
299,MUKESH BHAIRAVDANJI GADHAVI,Lakshadweep,INC,0,Graduate,"Rs 2,26,94,764",Rs 0
300,MULAYAM SINGH YADAV,Lalganj,SP,0,Post Graduate,"Rs 2,23,99,320","Rs 2,43,842"
301,Mullappally Ramachandran,Latur,INC,0,Post Graduate,"Rs 33,16,300","Rs 5,02,346"
302,MUNDE GOPINATHRAO PANDURANG,Lohardaga,BJP,4,Graduate Professional,"Rs 6,22,50,603","Rs 4,50,90,238"
303,MUTTEMWAR VILASRAO BABURAOJI,Lucknow,INC,0,Graduate,"Rs 1,53,02,294","Rs 27,56,726"
