Sno,Candidate∇,Adilabad,Party,Criminal Case,Education,Total Assets,Liabilities
464,SUCHARU RANJAN HALDAR,South Delhi,AITC,0,Post Graduate,"Rs 1,08,82,896",Rs 0
465,Sudershan Bhagat,South Goa,BJP,0,Graduate,"Rs 30,93,207","Rs 2,36,750"
466,Sudini Jaipal Reddy,Sreerampur,INC,0,Post Graduate,"Rs 5,61,50,333","Rs 20,42,919"
467,SUDIP BANDYOPADHYAY,Srikakulam,AITC,0,Graduate,"Rs 41,87,479","Rs 1,96,283"
468,SUGAVANAM. E.G.,Srinagar,DMK,3,12th Pass,"Rs 1,69,74,157","Rs 5,00,000"
469,SUGUMAR.K,Sriperumbudur,ADMK,0,Graduate,"Rs 2,13,20,000","Rs 1,91,027"
470,SUKHDEV SINGH,Sultanpur,INC,0,10th Pass,"Rs 1,70,83,247",Rs 0
471,SULTAN AHMED,Sundargarh,AITC,0,Graduate,"Rs 60,26,230","Rs 36,00,555"
472,SUMITRA MAHAJAN (TAI),Supaul,BJP,0,Post Graduate,"Rs 79,74,006","Rs 44,29,400"
473,SUPRIYA SULE,Surat,NCP,0,Graduate,"Rs 51,53,63,663",Rs 0
474,SURENDRA SINGH NAGAR,Surendranagar,BSP,2,Graduate,"Rs 49,20,84,300",Rs 0
475,SURESH KUMAR SHETKAR,Tamluk,INC,0,Graduate,"Rs 30,11,999",Rs 0
476,Sushil Kumar Singh,Tehri Garhwal,JD(U),4,Post Graduate,"Rs 2,08,87,871","Rs 7,41,199"
477,SUSHILA SAROJ,Tenkasi,SP,0,Post Graduate,"Rs 2,86,80,230","Rs 24,52,429"
478,SUSHMA SWARAJ,Tezpur,BJP,0,Graduate Professional,"Rs 7,35,82,637","Rs 58,250"
479,Susmita Bauri,Thane,CPM,0,Graduate Professional,"Rs 10,78,000","Rs 1,74,660"
480,SYED SHAHNAWAZ HUSSAIN,Thanjavur,BJP,0,10th Pass,"Rs 74,72,000","Rs 1,01,000"
481,TABASSUM BEGAM,Theni,BSP,0,10th Pass,"Rs 1,16,67,328",Rs 0
482,TAKAM SANJOY,Thiruvananthapuram,INC,0,Graduate,"Rs 2,41,37,021",Rs 0
483,TAMBIDURAI.M,Thoothukkudi,ADMK,2,Doctorate,"Rs 9,37,50,227",Rs 0
484,TAPAS PAUL,Thrissur,AITC,5,Graduate,"Rs 96,14,227",Rs 0
485,Tara chand,Tikamgarh,INC,0,Post Graduate,"Rs 65,18,752","Rs 11,22,163"
486,Tathagata Satpathy,Tiruchirappalli,BJD,13,12th Pass,"Rs 55,15,930",Rs 0
487,TAWARE SURESH KASHINATH,Tirunelveli,INC,0,Graduate,"Rs 10,90,39,952","Rs 12,50,000"
488,THAMARAISELVAN. R,Tirupati,DMK,0,Graduate Professional,"Rs 38,67,546","Rs 4,60,146"
489,THANGSO BAITE,Tiruppur,INC,0,Post Graduate,"Rs 17,78,418","Rs 8,80,000"
490,"THIRUMAAVALAVAN, THOL",Tiruvallur,VCK,2,Post Graduate,"Rs 23,47,700","Rs 8,81,000"
491,TUFANI SAROJ,Tiruvannamalai,SP,0,Graduate,"Rs 53,36,133",Rs 0
492,UDAY PRATAP SINGH,Tripura East,INC,0,Graduate,"Rs 3,99,06,000","Rs 13,74,065"
493,UDAY SINGH ALIAS PAPPU SINGH,Tripura West,BJP,2,12th Pass,"Rs 41,91,30,669","Rs 14,10,120"
494,Uma Shanaker Singh,Tumkur,RJD,2,10th Pass,"Rs 1,01,45,601","Rs 4,50,000"
495,USHA VERMA,Tura,SP,0,Post Graduate,"Rs 1,01,11,699","Rs 5,00,000"
496,V Arun Kumar,Udaipur,INC,2,Graduate Professional,"Rs 1,30,73,077","Rs 9,79,680"
497,V. Kishore Chandra Deo,Udhampur,INC,0,Post Graduate,"Rs 24,74,10,000",Rs 0
498,VENUGOPAL.D,Udupi Chikmagalur,DMK,0,Others,"Rs 5,70,10,000","Rs 15,38,546"
499,VENUGOPAL.P,Ujiarpur,ADMK,0,Graduate Professional,"Rs 20,74,236","Rs 3,50,000"
500,VENUGOPALA REDDY MODUGULA,Ujjain,TDP,2,Graduate Professional,"Rs 2,74,93,309","Rs 51,964"
501,VIJAY BAHADUR SINGH,Uluberia,BSP,0,Graduate Professional,"Rs 4,29,56,873","Rs 6,23,689"
502,VIJAY BAHUGUNA,Unnao,INC,0,Graduate Professional,"Rs 1,35,01,773",Rs 0
503,VIJAY INDER SINGLA,Uttara Kannada,INC,0,12th Pass,"Rs 3,47,77,859","Rs 3,74,957"
504,VIJAYA SHANTHI .M,Vadakara,TRS,0,10th Pass,"Rs 27,10,66,905",Rs 0
505,VIJAYAN A K S,Vadodara,DMK,0,12th Pass,"Rs 72,05,000","Rs 11,27,000"
506,VIKRAMBHAI ARJANBHAI MADAM,Vaishali,INC,0,Graduate,"Rs 1,55,90,109","Rs 4,00,000"
507,VINAY KUMAR ALIAS VINNU,Valmiki Nagar,INC,4,Doctorate,"Rs 1,57,43,200","Rs 5,89,157"
508,VINCENT H PALA,Valsad,INC,0,Graduate Professional,"Rs 25,16,18,190",Rs 0
509,VIRBHADRA SINGH,Varanasi,INC,0,Post Graduate,"Rs 22,52,28,748","Rs 6,28,864"
510,VIRENDER KASHYAP,Vellore,BJP,0,Post Graduate,"Rs 34,34,928",Rs 0
511,VIRENDRA KUMAR,Vidisha,BJP,0,Doctorate,"Rs 25,51,466",Rs 0
512,Vishu Deo Sai,Vijayawada,BJP,0,10th Pass,"Rs 23,02,000",Rs 0
513,VISHWA MOHAN KUMAR,Viluppuram,JD(U),0,Post Graduate,"Rs 66,89,616","Rs 4,40,179"
514,VISWANATHAN.P,Virudhunagar,INC,0,Graduate,"Rs 56,85,495","Rs 22,46,494"
515,VITTHALBHAI HANSRAJBHAI RADADIYA,Visakhapatnam,INC,16,Graduate,"Rs 2,06,75,722",Rs 0
516,WAKCHOURE BHAUSAHEB RAJARAM,Vizianagaram,SHS,0,Post Graduate,"Rs 1,78,60,515","Rs 24,27,069"
517,WASNIK MUKUL BALKRISHNA,Warangal,INC,1,Post Graduate,"Rs 31,11,932",Rs 0
518,Y.S. Jagan Mohan Reddy,Wardha,INC,0,Graduate,"Rs 72,81,51,658","Rs 6,63,96,966"
519,Yashbanta Narayan Singh Laguri,Wayanad,BJD,6,Graduate,"Rs 5,75,000","Rs 1,50,00,000"
520,YASHVIR SINGH,West Delhi,SP,1,12th Pass,"Rs 7,84,562",Rs 0
521,YASHWANT SINHA,Yavatmal-Washim,BJP,1,Post Graduate,"Rs 3,65,76,217",Rs 0
522,ZAFAR ALI NAQVI,Zahirabad,INC,0,Graduate Professional,"Rs 39,79,881",Rs 0
