pc_name,pc_no,pc_type,st_name,year,cand_name,cand_sex,partyname,partyabbre,totvotpoll,electors
Agra,9,GEN,Tamil Nadu,2004,Chinnadurai.A,M,Marumalarchi Dravida Munnetra Kazhagam,MDMK,39449,1031471
Agra,9,GEN,Tamil Nadu,2004,Senthamizhselvan.P,M,Pattali Makkal Katchi,PMK,106388,1031471
Agra,9,GEN,Tamil Nadu,2004,Krishnaswamy.M,M,Indian National Congress,INC,168880,1031471
Agra,9,GEN,Tamil Nadu,2004,Balaraman.L,M,Tamil Maanila Congress (Moopanar),TMC(M),342184,1031471
Agra,10,GEN,Tamil Nadu,2004,Balaguru D,M,Independent,IND,698,1034126
Agra,10,GEN,Tamil Nadu,2004,Venugopal M,M,Independent,IND,1032,1034126
Agra,10,GEN,Tamil Nadu,2004,Selvaraj C,M,Independent,IND,1044,1034126
Agra,10,GEN,Tamil Nadu,2004,Mohammed Ali Jinna M.,M,Independent,IND,1145,1034126
Agra,10,GEN,Tamil Nadu,2004,Iniyadayalan G,M,Independent,IND,1322,1034126
Agra,10,GEN,Tamil Nadu,2004,Pulavar Jayaraman N.,M,Independent,IND,1403,1034126
Agra,10,GEN,Tamil Nadu,2004,Nagamani M.G,M,Independent,IND,1831,1034126
Agra,10,GEN,Tamil Nadu,2004,Kaliyamoorthy K,M,Independent,IND,2376,1034126
Agra,10,GEN,Tamil Nadu,2004,Elumalai Yadav.S,M,Independent,IND,3401,1034126
Agra,10,GEN,Tamil Nadu,2004,V.Yesu @ Yesudhasan,M,Independent,IND,3617,1034126
Agra,10,GEN,Tamil Nadu,2004,Moorthy G,M,Independent,IND,4412,1034126
Agra,10,GEN,Tamil Nadu,2004,Baskaran S\,M,Bharatiya Janata Party,BJP,6047,1034126
Agra,10,GEN,Tamil Nadu,2004,Durai D,M,Marumalarchi Dravida Munnetra Kazhagam,MDMK,37025,1034126
Agra,10,GEN,Tamil Nadu,2004,Zainuddin A.K,M,Pattali Makkal Katchi,PMK,79535,1034126
Agra,10,GEN,Tamil Nadu,2004,Ramamurthee K,M,Indian National Congress,INC,177032,1034126
Agra,10,GEN,Tamil Nadu,2004,Venkatraman G,M,Dravida Munnetra Kazhagam,DMK,367308,1034126
Agra,11,GEN,Tamil Nadu,2004,Palanivelan V.K,M,Independent,IND,339,1042486
Agra,11,GEN,Tamil Nadu,2004,Sundaravadivelu S,M,Independent,IND,422,1042486
Agra,11,GEN,Tamil Nadu,2004,Thiagarajan V,M,Independent,IND,763,1042486
Agra,11,GEN,Tamil Nadu,2004,Abdul Wahab T,M,Independent,IND,932,1042486
Agra,11,GEN,Tamil Nadu,2004,Moorthy T.K,M,Samata Party,SAP,1043,1042486
Agra,11,GEN,Tamil Nadu,2004,Tmt. Sarojini M.,F,Independent,IND,1400,1042486
Agra,11,GEN,Tamil Nadu,2004,Viruthagiri R,M,Independent,IND,1473,1042486
Agra,11,GEN,Tamil Nadu,2004,Rangan A.D. Alias Rangan Prakash,M,Republican Party Of India (Sivaraj),RPI(S),2081,1042486
Agra,11,GEN,Tamil Nadu,2004,Muthu K,M,Independent,IND,2601,1042486
Agra,11,GEN,Tamil Nadu,2004,Kirubapuri M,M,Independent,IND,3975,1042486
Agra,11,GEN,Tamil Nadu,2004,Apparsamy N,M,Bharatiya Janata Party,BJP,7845,1042486
Agra,11,GEN,Tamil Nadu,2004,Kalia Perumal P.P,M,All India Indira Congress (Tiwari),AIIC(T),41284,1042486
Akbarpur,11,GEN,Tamil Nadu,2004,Sabapathy Mohan R.T,M,Marumalarchi Dravida Munnetra Kazhagam,MDMK,55110,1042486
Akbarpur,11,GEN,Tamil Nadu,2004,Santhamurthy V,M,Indian National Congress,INC,184456,1042486
Akbarpur,11,GEN,Tamil Nadu,2004,Venkatesan P.R.S,M,Tamil Maanila Congress (Moopanar),TMC(M),389660,1042486
Akbarpur,12,SC,Tamil Nadu,2004,"Asokan, S",M,Independent,IND,812,1026604
Akbarpur,12,SC,Tamil Nadu,2004,Chidambaram.S,M,Independent,IND,1104,1026604
Akbarpur,12,SC,Tamil Nadu,2004,Perumal.A,M,Independent,IND,1338,1026604
Akbarpur,12,SC,Tamil Nadu,2004,Ashokan.A,M,Independent,IND,1544,1026604
Akbarpur,12,SC,Tamil Nadu,2004,Palani.S,M,Independent,IND,2714,1026604
Akbarpur,12,SC,Tamil Nadu,2004,Selvamani K. Tmt,F,Independent,IND,5795,1026604
Akbarpur,12,SC,Tamil Nadu,2004,Kirubanidhi S.P,M,Bharatiya Janata Party,BJP,7954,1026604
Aligarh,12,SC,Tamil Nadu,2004,Mahalingam.P.S,M,Communist Party Of India (Marxist),CPM,28646,1026604
Aligarh,12,SC,Tamil Nadu,2004,Vallal Peruman P,M,Indian National Congress,INC,144478,1026604
Aligarh,12,SC,Tamil Nadu,2004,Elumalai.R,M,Pattali Makkal Katchi,PMK,159898,1026604
Aligarh,12,SC,Tamil Nadu,2004,Ganesan V,M,Dravida Munnetra Kazhagam,DMK,336164,1026604
Aligarh,13,GEN,Tamil Nadu,2004,Selvam.A.C,M,Independent,IND,378,1122427
Aligarh,13,GEN,Tamil Nadu,2004,Alaguraman,M,Independent,IND,570,1122427
Aligarh,13,GEN,Tamil Nadu,2004,Srirangan.N,M,Independent,IND,574,1122427
Aligarh,13,GEN,Tamil Nadu,2004,Gopalakrishnan.K.M,M,Independent,IND,893,1122427
Aligarh,13,GEN,Tamil Nadu,2004,Balakrishnan.P,M,Independent,IND,944,1122427
Aligarh,13,GEN,Tamil Nadu,2004,Mathivanan.V,M,Independent,IND,1058,1122427
Aligarh,13,GEN,Tamil Nadu,2004,"Rajendran, Kaspha",M,Independent,IND,1468,1122427
Aligarh,13,GEN,Tamil Nadu,2004,Ravi.N,M,Independent,IND,2010,1122427
Aligarh,13,GEN,Tamil Nadu,2004,Madavachari.D.N,M,Independent,IND,2053,1122427
Aligarh,13,GEN,Tamil Nadu,2004,Balasubramaniam.M,M,Independent,IND,2154,1122427
Aligarh,13,GEN,Tamil Nadu,2004,Padmarajan K,M,Independent,IND,2553,1122427
Aligarh,13,GEN,Tamil Nadu,2004,Arumugam P.S,M,Bharatiya Janata Party,BJP,6060,1122427
Aligarh,13,GEN,Tamil Nadu,2004,Gopal. Inamurasu.A,M,Independent,IND,8283,1122427
Aligarh,13,GEN,Tamil Nadu,2004,Chinnasamy.C,M,Independent,IND,12495,1122427
Aligarh,13,GEN,Tamil Nadu,2004,Krishnan.P,M,Marumalarchi Dravida Munnetra Kazhagam,MDMK,28633,1122427
Aligarh,13,GEN,Tamil Nadu,2004,Ramamurthy.K,M,All India Indira Congress (Tiwari),AIIC(T),163484,1122427
Aligarh,13,GEN,Tamil Nadu,2004,Subramaniyam.M.P,M,Indian National Congress,INC,165920,1122427
Aligarh,13,GEN,Tamil Nadu,2004,Theertharaman.P,M,Tamil Maanila Congress (Moopanar),TMC(M),297166,1122427
Aligarh,14,GEN,Tamil Nadu,2004,Nagarajan M N,M,Independent,IND,1139,1077964
Aligarh,14,GEN,Tamil Nadu,2004,Ramamurthy C,M,Independent,IND,1542,1077964
Aligarh,14,GEN,Tamil Nadu,2004,Noor Ahmed M B,M,Independent,IND,1716,1077964
Aligarh,14,GEN,Tamil Nadu,2004,Raja M,M,Independent,IND,1797,1077964
Aligarh,14,GEN,Tamil Nadu,2004,Narayana Rao R,M,Independent,IND,3445,1077964
Aligarh,14,GEN,Tamil Nadu,2004,Thimmi Chetty,M,Bharatiya Janata Party,BJP,25864,1077964
Aligarh,14,GEN,Tamil Nadu,2004,Manoharan K A,M,All India Indira Congress (Tiwari),AIIC(T),29277,1077964
Aligarh,14,GEN,Tamil Nadu,2004,Vadivelu G A,M,Janata Dal,JD,50932,1077964
Aligarh,14,GEN,Tamil Nadu,2004,Elankovan. E.V.K.S.,M,Indian National Congress,INC,176333,1077964
Aligarh,14,GEN,Tamil Nadu,2004,Narasimhan C,M,Tamil Maanila Congress (Moopanar),TMC(M),371009,1077964
Allahabad,15,SC,Tamil Nadu,2004,Aruljothi S,M,Independent,IND,599,1047694
Allahabad,15,SC,Tamil Nadu,2004,Perumal A,M,Independent,IND,714,1047694
Allahabad,15,SC,Tamil Nadu,2004,Singaravel S,M,Independent,IND,780,1047694
