PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Criminal Case,Education,,
['Arunachal East', '2', 'GEN', 'Arunachal Pradesh', 'Ninong Ering', 'Indian National Congress', '312872', '261291', '83.5 %', '12478', '4.8%', '0', 'Graduate',,
['Arunachal West', '1', 'GEN', 'Arunachal Pradesh', 'Kiren Rijiju', 'Bharatiya Janta Party', '446515', '335665', '75.2 %', '41738', '12.4%', '0', 'Graduate Professional',,
['Asansol', '40', 'GEN', 'West Bengal', 'Babul Supriya Baral (BABUL SUPRIYO)', 'Bharatiya Janta Party', '1469684', '1142395', '77.7 %', '70480', '6.2%', '0', 'Graduate',456']],
['Aska', '19', 'GEN', 'Orissa', 'Ladu Kishore Swain', 'Biju Janata Dal', '1408780', '896281', '63.6 %', '311997', '34.8%', '0', 'Graduate',,
['Attingal', '19', 'GEN', 'Kerala', 'Dr.A .Sampath', 'Communist Party Of India (MARXIST)', '1251398', '859350', '68.7 %', '69378', '8.1%', '1', 'Doctorate',,
['Aurangabad', '19', 'GEN', 'Maharashtra', 'Chandrakant Bhaurao Khaire', 'Shiv Sena', '1589393', '982933', '61.8 %', '162000', '16.5%', '8', '12th Pass',244']],
['Aurangabad', '37', 'GEN', 'Bihar [2000 Onwards]', 'Sushil Kumar Singh', 'Bharatiya Janta Party', '1536153', '786274', '51.2 %', '66347', '8.4%', '8', '12th Pass',244']],
['Autonomous District', '3', 'ST', 'Assam', 'Biren Singh Engti', 'Indian National Congress', '701890', '543280', '77.4 %', '24095', '4.4%', '0', 'Post Graduate',,
['Badaun', '23', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Dharmendra Yadav', 'Samajwadi Party', '1769145', '1027594', '58.1 %', '166347', '16.2%', '0', 'Post Graduate',,
['Bagalkot', '3', 'GEN', 'Karnataka', 'Gaddigoudar Parvtagouda Chandanagouda', 'Bharatiya Janta Party', '1568620', '1079310', '68.8 %', '116560', '10.8%', '0', 'Graduate Professional',,
['Baghpat', '11', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Dr. Satya Pal Singh', 'Bharatiya Janta Party', '1505175', '1004263', '66.7 %', '209866', '20.9%', '0', 'Doctorate',,
['Baharampur', '10', 'GEN', 'West Bengal', 'Adhir Ranjan Chowdhury', 'Indian National Congress', '1453783', '1154587', '79.4 %', '356567', '30.9%', '16', '10th Pass',,
