PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Criminal Case,Education,,
['Dhenkanal', '9', 'GEN', 'Orissa', 'Tathagata Satpathy', 'Biju Janata Dal', '1363467', '1042101', '76.4 %', '137340', '13.2%', '7', 'Others',,
['Dhubri', '4', 'GEN', 'Assam', 'Badruddin Ajmal', 'All India United Democratic Front', '1552554', '1369624', '88.2 %', '229730', '16.8%', '1', 'Post Graduate',,
['Dhule', '2', 'GEN', 'Maharashtra', 'Dr. Bhamre Subhash Ramrao', 'Bharatiya Janta Party', '1674469', '983083', '58.7 %', '130723', '13.3%', '0', 'Post Graduate',,
['Diamond Harbour', '21', 'GEN', 'West Bengal', 'Abhishek Banerjee', 'All India Trinamool Congress', '1555914', '1261296', '81.1 %', '71298', '5.7%', '0', 'Post Graduate',,
['Dibrugarh', '13', 'GEN', 'Assam', 'Rameswar Teli', 'Bharatiya Janta Party', '1124305', '890968', '79.3 %', '185347', '20.8%', '0', '10th Pass',,
['Dindigul', '22', 'GEN', 'Tamil Nadu', 'Udhaya Kumar .M', 'All India Anna Dravida Munnetra Kazhagam', '1400531', '1083364', '77.4 %', '127845', '11.8%', '0', 'Post Graduate',,
['Dindori', '20', 'ST', 'Maharashtra', 'Chavan Harishchandra Deoram', 'Bharatiya Janta Party', '1530139', '970182', '63.4 %', '247619', '25.5%', '1', 'Graduate',,
['Domariyaganj', '60', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Jagdambika Pal', 'Bharatiya Janta Party', '1761415', '935027', '53.1 %', '103588', '11.1%', '0', 'Post Graduate',,
['Dum Dum', '16', 'GEN', 'West Bengal', 'Saugata Roy', 'All India Trinamool Congress', '1405981', '1132644', '80.6 %', '154934', '13.7%', '0', 'Post Graduate',,
['Dumka', '2', 'ST', 'Jharkhand', 'Shibu Soren', 'Jharkhand Mukti Morcha', '1247155', '903060', '72.4 %', '39030', '4.3%', '0', '10th Pass',,
['Durg', '7', 'GEN', 'Chhattisgarh', 'Tamradhwaj Sahu', 'Indian National Congress', '1855781', '1258342', '67.8 %', '16848', '1.3%', '0', '12th Pass',,
['East Delhi', '3', 'GEN', 'Delhi [1977 Onwards]', 'Maheish Girri', 'Bharatiya Janta Party', '1829578', '1196336', '65.4 %', '190463', '15.9%', '1', '10th Pass',,
['Eluru', '27', 'GEN', 'Andhra Pradesh [2014 Onwards]', 'Maganti Venkateswara Rao (BABU)', 'Telugu Desam', '1427760', '1201696', '84.2 %', '101926', '8.5%', '2', '10th Pass',433']],
['Ernakulam', '12', 'GEN', 'Kerala', 'Prof. K.V. Thomas', 'Indian National Congress', '1156467', '850834', '73.6 %', '87047', '10.2%', '0', 'Post Graduate',,
['Erode', '17', 'GEN', 'Tamil Nadu', 'Selvakumara Chinnayan S', 'All India Anna Dravida Munnetra Kazhagam', '1321395', '1008582', '76.3 %', '211563', '21.0%', '0', 'Post Graduate',,
['Etah', '22', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Rajveer Singh (RAJU BHAIYA)', 'Bharatiya Janta Party', '1577457', '926281', '58.7 %', '201001', '21.7%', '0', 'Graduate Professional',091']],
['Etawah', '41', 'SC', 'Uttar Pradesh [2000 Onwards]', 'Ashok Kumar Doharey', 'Bharatiya Janta Party', '1707237', '939604', '55.0 %', '172946', '18.4%', '0', 'Graduate',,
['Faizabad', '54', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Lallu Singh', 'Bharatiya Janta Party', '1738701', '1022716', '58.8 %', '282775', '27.6%', '1', 'Post Graduate',,
['Faridabad', '10', 'GEN', 'Haryana', 'Krishan Pal', 'Bharatiya Janta Party', '1740352', '1130726', '65.0 %', '466873', '41.3%', '0', 'Graduate Professional',475']],
['Faridkot', '9', 'SC', 'Punjab', 'Prof. Sadhu Singh', 'Aam Aadmi Party', '1455075', '1032107', '70.9 %', '172516', '16.7%', '0', 'Post Graduate',,
['Fatehgarh Sahib', '8', 'SC', 'Punjab', 'Harinder Singh Khalsa', 'Aam Aadmi Party', '1396957', '1030954', '73.8 %', '54144', '5.3%', '0', 'Post Graduate',,
['Fatehpur', '49', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Niranjan Jyoti', 'Bharatiya Janta Party', '1804777', '1056688', '58.6 %', '187206', '17.7%', '1', '12th Pass',,
['Fatehpur Sikri', '19', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Babulal', 'Bharatiya Janta Party', '1580582', '967968', '61.2 %', '173106', '17.9%', '3', '12th Pass',000']],
['Firozabad', '20', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Akshay Yadav', 'Samajwadi Party', '1636738', '1104606', '67.5 %', '114059', '10.3%', '0', 'Graduate',,
['Gandhinagar', '6', 'GEN', 'Gujarat', 'L.K.Advani', 'Bharatiya Janta Party', '1733972', '1135495', '65.5 %', '483121', '42.5%', '1', 'Graduate Professional',,
['Ganganagar', '1', 'SC', 'Rajasthan', 'Nihalchand', 'Bharatiya Janta Party', '1718421', '1256806', '73.1 %', '291741', '23.2%', '0', 'Graduate',,
['Garhwal', '2', 'GEN', 'Uttarakhand', '(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM)', 'Bharatiya Janta Party', '1269083', '682024', '53.7 %', '184526', '27.1%', '0', 'Graduate Professional',,
['Gauhati', '7', 'GEN', 'Assam', 'Bijoya Chakravarty', 'Bharatiya Janta Party', '1922270', '1511729', '78.6 %', '315784', '20.9%', '0', 'Post Graduate',,
['Gaya', '38', 'SC', 'Bihar [2000 Onwards]', 'Hari Manjhi', 'Bharatiya Janta Party', '1500751', '809378', '53.9 %', '115504', '14.3%', '1', '8th Pass',,
['Ghatal', '32', 'GEN', 'West Bengal', 'Adhikari Deepak (DEV)', 'All India Trinamool Congress', '1610489', '1366709', '84.9 %', '260891', '19.1%', '0', '10th Pass',227']],
['Ghaziabad', '12', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Vijay Kumar Singh', 'Bharatiya Janta Party', '2357546', '1342320', '56.9 %', '567260', '42.3%', '2', 'Doctorate',,
['Ghazipur', '75', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Manoj Sinha', 'Bharatiya Janta Party', '1801519', '986673', '54.8 %', '32452', '3.3%', '0', 'Graduate Professional',,
['Ghosi', '70', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Harinarayan Rajbhar', 'Bharatiya Janta Party', '1891113', '1039656', '55.0 %', '146015', '14.0%', '0', 'Literate',,
['Giridih', '6', 'GEN', 'Jharkhand', 'Ravindra Kumar Pandey', 'Bharatiya Janta Party', '1515137', '969997', '64.0 %', '40313', '4.2%', '0', 'Graduate',,
['Godda', '3', 'GEN', 'Jharkhand', 'Nishikant Dubey', 'Bharatiya Janta Party', '1590628', '1049442', '66.0 %', '60682', '5.8%', '5', 'Post Graduate',,
['Gonda', '59', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Kirti Vardhan Singh', 'Bharatiya Janta Party', '1710827', '873732', '51.1 %', '160416', '18.4%', '0', 'Post Graduate',,
['Gopalganj', '17', 'SC', 'Bihar [2000 Onwards]', 'Janak Ram', 'Bharatiya Janta Party', '1652767', '903583', '54.7 %', '286936', '31.8%', '2', 'Post Graduate',,
['Gorakhpur', '64', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Adityanath', 'Bharatiya Janta Party', '1904498', '1040199', '54.6 %', '312783', '30.1%', '3', 'Graduate',,
['Gulbarga', '5', 'SC', 'Karnataka', 'Mallikarjun Kharge', 'Indian National Congress', '1721990', '997638', '57.9 %', '74733', '7.5%', '0', 'Graduate Professional',,
['Guna', '4', 'GEN', 'Madhya Pradesh [2000 Onwards]', 'Jyotiraditya M Scindia', 'Indian National Congress', '1605619', '976629', '60.8 %', '120792', '12.4%', '0', 'Post Graduate',,
['Guntur', '30', 'GEN', 'Andhra Pradesh [2014 Onwards]', 'Jayadev Galla', 'Telugu Desam', '1572016', '1244926', '79.2 %', '69111', '5.6%', '0', 'Graduate',34,283']]
['Gurdaspur', '1', 'GEN', 'Punjab', 'Vinod Khanna', 'Bharatiya Janta Party', '1500337', '1042699', '69.5 %', '136065', '13.0%', '0', 'Graduate',306']],
['Gurgaon', '9', 'GEN', 'Haryana', 'Inderjit Singh Rao', 'Bharatiya Janta Party', '1845623', '1320619', '71.6 %', '274722', '20.8%', '0', 'Graduate Professional',,
['Gwalior', '3', 'GEN', 'Madhya Pradesh [2000 Onwards]', 'Narendra Singh Tomar', 'Bharatiya Janta Party', '1877003', '990912', '52.8 %', '29699', '3.0%', '1', 'Graduate',,
['Hajipur', '21', 'SC', 'Bihar [2000 Onwards]', 'Ramvilas Paswan', 'Lok Jan Shakti Party', '1649547', '904753', '54.9 %', '225500', '24.9%', '2', 'Post Graduate',,
['Hamirpur', '3', 'GEN', 'Himachal Pradesh', 'Anurag Singh Thakur', 'Bharatiya Janta Party', '1247699', '835205', '66.9 %', '98403', '11.8%', '10', 'Graduate',,
['Hamirpur', '47', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Kunwar Pushpendra Singh Chandel', 'Bharatiya Janta Party', '1737993', '975240', '56.1 %', '266788', '27.4%', '10', 'Graduate',,
['Hardoi', '31', 'SC', 'Uttar Pradesh [2000 Onwards]', 'Anshul Verma', 'Bharatiya Janta Party', '1714387', '972894', '56.8 %', '81343', '8.4%', '0', 'Post Graduate',,
['Hardwar', '5', 'GEN', 'Uttarakhand', 'Ramesh Pokhriyal Nishank', 'Bharatiya Janta Party', '1642873', '1175692', '71.6 %', '177822', '15.1%', '1', 'Doctorate',,
['Hassan', '16', 'GEN', 'Karnataka', 'H.D. Devegowda', 'Janata Dal (Secular)', '1561336', '1147172', '73.5 %', '100462', '8.8%', '0', 'Others',,
['Hathras', '16', 'SC', 'Uttar Pradesh [2000 Onwards]', 'Rajesh Kumar Diwaker', 'Bharatiya Janta Party', '1758927', '1049273', '59.7 %', '326386', '31.1%', '0', 'Graduate Professional',,
['Hatkanangle', '48', 'GEN', 'Maharashtra', 'Raju Shetty', 'Swabhimani Paksha', '1630598', '1188871', '72.9 %', '177810', '15.0%', '12', '10th Pass',,
['Haveri', '10', 'GEN', 'Karnataka', 'Udasi Shivakumar Channabasappa', 'Bharatiya Janta Party', '1558749', '1115968', '71.6 %', '87571', '7.8%', '0', '12th Pass',645']],
['Hazaribagh', '14', 'GEN', 'Jharkhand', 'Jayant Sinha', 'Bharatiya Janta Party', '1518831', '967152', '63.7 %', '159128', '16.5%', '0', 'Post Graduate',600']],
['Hindupur', '37', 'GEN', 'Andhra Pradesh [2014 Onwards]', 'Kristappa Nimmala', 'Telugu Desam', '1446503', '1177257', '81.4 %', '97325', '8.3%', '2', 'Graduate',,
['Hingoli', '15', 'GEN', 'Maharashtra', 'Rajeev Shankarrao Satav', 'Indian National Congress', '1586194', '1051164', '66.3 %', '1632', '0.2%', '0', 'Graduate Professional',,
['Hisar', '4', 'GEN', 'Haryana', 'Dushyant Chautala', 'Indian National Lok Dal', '1517606', '1155914', '76.2 %', '31847', '2.8%', '0', 'Graduate',460']],
['Hooghly', '28', 'GEN', 'West Bengal', 'Dr. Ratna De (NAG)', 'All India Trinamool Congress', '1630042', '1348870', '82.8 %', '189084', '14.0%', '0', 'Graduate Professional',,
['Hoshangabad', '17', 'GEN', 'Madhya Pradesh [2000 Onwards]', 'Uday Pratap Singh', 'Bharatiya Janta Party', '1568127', '1031175', '65.8 %', '389960', '37.8%', '1', 'Graduate',,
['Hoshiarpur', '5', 'SC', 'Punjab', 'Vijay Sampla', 'Bharatiya Janta Party', '1485286', '961297', '64.7 %', '13582', '1.4%', '0', '10th Pass',,
['Howrah', '25', 'GEN', 'West Bengal', 'Prasun Banerjee', 'All India Trinamool Congress', '1505099', '1125399', '74.8 %', '196956', '17.5%', '0', 'Graduate',,
['Hyderabad', '9', 'GEN', 'Telangana', 'Asaduddin Owaisi', 'All India Majlis-E-Ittehadul Muslimoon', '1823664', '971421', '53.3 %', '202454', '20.8%', '4', 'Graduate Professional',000']],
['Idukki', '13', 'GEN', 'Kerala', 'Adv.Joice George', 'Independent', '1158735', '819766', '70.8 %', '50542', '6.2%', '4', 'Post Graduate',,
['Indore', '26', 'GEN', 'Madhya Pradesh [2000 Onwards]', 'Sumitra Mahajan (TAI)', 'Bharatiya Janta Party', '2115303', '1316817', '62.3 %', '466901', '35.5%', '0', 'Post Graduate',,
['Inner Manipur', '1', 'GEN', 'Manipur', 'Dr. Thokchom Meinya', 'Indian National Congress', '855359', '640871', '74.9 %', '94674', '14.8%', '0', 'Doctorate',,
['Jabalpur', '13', 'GEN', 'Madhya Pradesh [2000 Onwards]', 'Rakesh Singh', 'Bharatiya Janta Party', '1711683', '1002184', '58.6 %', '208639', '20.8%', '1', 'Graduate',,
['Jadavpur', '22', 'GEN', 'West Bengal', 'Sugata Bose', 'All India Trinamool Congress', '1595746', '1272362', '79.7 %', '125203', '9.8%', '0', 'Doctorate',,
['Jagatsinghpur', '16', 'SC', 'Orissa', 'Kulamani Samal', 'Biju Janata Dal', '1499673', '1131932', '75.5 %', '276394', '24.4%', '0', 'Graduate Professional',,
['Jahanabad', '36', 'GEN', 'Bihar [2000 Onwards]', 'Dr. Arun Kumar', 'Rashtriya Lok Samta Party', '1423246', '811516', '57.0 %', '42340', '5.2%', '1', 'Doctorate',,
['Jaipur', '7', 'GEN', 'Rajasthan', 'Ramcharan Bohara', 'Bharatiya Janta Party', '1957818', '1296806', '66.2 %', '539345', '41.6%', '0', '12th Pass',000']],
['Jaipur Rural', '6', 'GEN', 'Rajasthan', 'Rajyavardhan Singh Rathore', 'Bharatiya Janta Party', '1699462', '1013691', '59.7 %', '332896', '32.8%', '0', 'Graduate',,
['Jajpur', '8', 'SC', 'Orissa', 'Rita Tarai', 'Biju Janata Dal', '1303733', '980435', '75.2 %', '320271', '32.7%', '0', '12th Pass',,
['Jalandhar', '4', 'SC', 'Punjab', 'Santokh Singh Chaudhary', 'Indian National Congress', '1551497', '1040762', '67.1 %', '70981', '6.8%', '0', 'Graduate Professional',,
['Jalaun', '45', 'SC', 'Uttar Pradesh [2000 Onwards]', 'Bhanu Pratap Singh Verma', 'Bharatiya Janta Party', '1903332', '1109166', '58.3 %', '287202', '25.9%', '0', 'Post Graduate',,
['Jalgaon', '3', 'GEN', 'Maharashtra', 'A.T. Nana Patil', 'Bharatiya Janta Party', '1707933', '990332', '58.0 %', '383525', '38.7%', '0', 'Graduate',,
['Jalna', '18', 'GEN', 'Maharashtra', 'Danve Raosaheb Dadarao', 'Bharatiya Janta Party', '1612054', '1066259', '66.1 %', '206798', '19.4%', '4', 'Graduate',,
['Jalore', '18', 'GEN', 'Rajasthan', 'Devji Patel', 'Bharatiya Janta Party', '1824968', '1087272', '59.6 %', '381145', '35.1%', '0', '10th Pass',726']],
['Jalpaiguri', '3', 'SC', 'West Bengal', 'Bijoy Chandra Barman', 'All India Trinamool Congress', '1531469', '1302117', '85.0 %', '69606', '5.3%', '0', 'Post Graduate',,
['Jammu', '6', 'GEN', 'Jammu & Kashmir', 'Jugal Kishore', 'Bharatiya Janta Party', '1848155', '1253593', '67.8 %', '257280', '20.5%', '0', '10th Pass',,
['Jamnagar', '12', 'GEN', 'Gujarat', 'Poonamben Hematbhai Maadam', 'Bharatiya Janta Party', '1470952', '852643', '58.0 %', '175289', '20.6%', '0', 'Graduate',615']],
['Jamshedpur', '9', 'GEN', 'Jharkhand', 'Bidyut Baran Mahato', 'Bharatiya Janta Party', '1581665', '1049140', '66.3 %', '99876', '9.5%', '8', '12th Pass',,
['Jamui', '40', 'SC', 'Bihar [2000 Onwards]', 'Chirag Kumar Paswan', 'Lok Jan Shakti Party', '1550936', '775639', '50.0 %', '85947', '11.1%', '0', '12th Pass',,
['Jangipur', '9', 'GEN', 'West Bengal', 'Abhijit Mukherjee', 'Indian National Congress', '1391656', '1119084', '80.4 %', '8161', '0.7%', '0', 'Graduate Professional',000']],
['Janjgir-Champa', '3', 'SC', 'Chhattisgarh', 'Kamla Patle', 'Bharatiya Janta Party', '1737532', '1073347', '61.8 %', '174961', '16.3%', '0', '12th Pass',,
['Jaunpur', '73', 'GEN', 'Uttar Pradesh [2000 Onwards]'," ""Krishna Pratap 'k.P.'""", 'Bharatiya Janta Party', '1848842', '1007143', '54.5 %', '146310', '14.5%', '0', 'Doctorate',,
['Jhanjharpur', '7', 'GEN', 'Bihar [2000 Onwards]', 'Birendra Kumar Chaudhary', 'Bharatiya Janta Party', '1650753', '941249', '57.0 %', '55408', '5.9%', '0', 'Post Graduate',,
['Jhansi', '46', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Uma Bharati', 'Bharatiya Janta Party', '1932015', '1320804', '68.4 %', '190467', '14.4%', '13', '5th Pass',,
['Jhargram', '33', 'ST', 'West Bengal', 'Uma Saren', 'All India Trinamool Congress', '1475112', '1257613', '85.3 %', '347883', '27.7%', '0', 'Graduate Professional',,
['Jhunjhunu', '4', 'GEN', 'Rajasthan', 'Santosh Ahlawat', 'Bharatiya Janta Party', '1696788', '1006465', '59.3 %', '233835', '23.2%', '0', 'Post Graduate',,
['Jodhpur', '16', 'GEN', 'Rajasthan', 'Gajendrasingh Shekhawat', 'Bharatiya Janta Party', '1727363', '1078598', '62.4 %', '410051', '38.0%', '0', 'Post Graduate',588']],
['Jorhat', '12', 'GEN', 'Assam', 'Kamakhya Prasad Tasa', 'Bharatiya Janta Party', '1234448', '931336', '75.5 %', '102420', '11.0%', '0', 'Post Graduate',,
['Junagadh', '13', 'GEN', 'Gujarat', 'Chudasama Rajeshbhai Naranbhai', 'Bharatiya Janta Party', '1485543', '941378', '63.4 %', '135832', '14.4%', '1', '12th Pass',,
['Kachchh', '1', 'SC', 'Gujarat', 'Chavda Vinod Lakhamashi', 'Bharatiya Janta Party', '1533782', '946240', '61.7 %', '254482', '26.9%', '0', 'Graduate Professional',,
['Kadapa', '38', 'GEN', 'Andhra Pradesh [2014 Onwards]', 'Y.S. Avinash Reddy', 'Yuvajana Sramika Rythu Congress Party', '1550579', '1200662', '77.4 %', '190323', '15.9%', '1', 'Post Graduate',,
['Kairana', '2', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Hukum Singh', 'Bharatiya Janta Party', '1531755', '1119324', '73.1 %', '236828', '21.2%', '2', 'Graduate Professional',,
['Kaiserganj', '57', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Brij Bhusan Sharan Singh', 'Bharatiya Janta Party', '1711967', '943357', '55.1 %', '78218', '8.3%', '2', 'Graduate Professional',027']],
['Kakinada', '23', 'GEN', 'Andhra Pradesh [2014 Onwards]', 'Thota Narasimham', 'Telugu Desam', '1418290', '1099999', '77.6 %', '3431', '0.3%', '0', 'Graduate',,
['Kalahandi', '11', 'GEN', 'Orissa', 'Arka Keshari Deo', 'Biju Janata Dal', '1474135', '1117536', '75.8 %', '56347', '5.0%', '0', 'Graduate',,
['Kaliabor', '11', 'GEN', 'Assam', 'Gourav Gogoi', 'Indian National Congress', '1457865', '1166490', '80.0 %', '93874', '8.0%', '0', 'Post Graduate',,
['Kallakurichi', '14', 'GEN', 'Tamil Nadu', 'Kamaraj. K', 'All India Anna Dravida Munnetra Kazhagam', '1412499', '1107241', '78.4 %', '223507', '20.2%', '0', 'Post Graduate',,
['Kalyan', '24', 'GEN', 'Maharashtra', 'Dr.Shrikant Eknath Shinde', 'Shiv Sena', '1922046', '824196', '42.9 %', '250749', '30.4%', '0', 'Graduate Professional',,
['Kancheepuram', '6', 'SC', 'Tamil Nadu', 'Maragatham K', 'All India Anna Dravida Munnetra Kazhagam', '1480123', '1128399', '76.2 %', '146866', '13.0%', '0', '12th Pass',,
['Kandhamal', '13', 'GEN', 'Orissa', 'Hemendra Chandra Singh', 'Biju Janata Dal', '1143602', '839415', '73.4 %', '181017', '21.6%', '2', 'Graduate',,
['Kangra', '1', 'GEN', 'Himachal Pradesh', 'Shanta Kumar', 'Bharatiya Janta Party', '1258601', '799445', '63.5 %', '170072', '21.3%', '0', 'Graduate Professional',,
['Kanker', '11', 'ST', 'Chhattisgarh', 'Vikram Dev Usendi', 'Bharatiya Janta Party', '1447774', '1016943', '70.2 %', '35158', '3.5%', '0', '10th Pass',,
['Kannauj', '42', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Dimple Yadav', 'Samajwadi Party', '1808889', '1114460', '61.6 %', '19907', '1.8%', '0', 'Graduate',,
['Kanniyakumari', '39', 'GEN', 'Tamil Nadu', 'Radhakrishnan P.', 'Bharatiya Janta Party', '1467796', '990742', '67.5 %', '128662', '13.0%', '0', 'Graduate Professional',,
['Kannur', '2', 'GEN', 'Kerala', 'P K Sreemathi Teacher', 'Communist Party Of India (MARXIST)', '1170266', '947117', '80.9 %', '6566', '0.7%', '8', 'Others',,
['Kanpur', '43', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Dr.Murli Manohar Joshi', 'Bharatiya Janta Party', '1611248', '835079', '51.8 %', '222946', '26.7%', '1', 'Doctorate',,
['Kanthi', '31', 'GEN', 'West Bengal', 'Adhikari Sisir Kumar', 'All India Trinamool Congress', '1490409', '1290811', '86.6 %', '229490', '17.8%', '1', '12th Pass',,
['Karakat', '35', 'GEN', 'Bihar [2000 Onwards]', 'Upendra Kushwaha', 'Rashtriya Lok Samta Party', '1569989', '789927', '50.3 %', '105241', '13.3%', '4', 'Post Graduate',,
['Karimganj', '1', 'SC', 'Assam', 'Radheshyam Biswas', 'All India United Democratic Front', '1165997', '886920', '76.1 %', '102094', '11.5%', '0', '12th Pass',,
['Karimnagar', '3', 'GEN', 'Telangana', 'Vinod Kumar Boinapally', 'Telangana Rashtra Samithi', '1550834', '1125691', '72.6 %', '205077', '18.2%', '0', 'Graduate Professional',,
['Karnal', '5', 'GEN', 'Haryana', 'Ashwini Kumar', 'Bharatiya Janta Party', '1684321', '1193500', '70.9 %', '360147', '30.2%', '6', 'Graduate',858']],
['Karur', '23', 'GEN', 'Tamil Nadu', 'Thambiduraim.', 'All India Anna Dravida Munnetra Kazhagam', '1298322', '1046534', '80.6 %', '195247', '18.7%', '2', 'Doctorate',886']],
['Kasaragod', '1', 'GEN', 'Kerala', 'P Karunakaran', 'Communist Party Of India (MARXIST)', '1243730', '974215', '78.3 %', '6921', '0.7%', '6', 'Post Graduate',,
['Katihar', '11', 'GEN', 'Bihar [2000 Onwards]', 'Tariq Anwar', 'Nationalist Congress Party', '1446478', '977830', '67.6 %', '114740', '11.7%', '1', 'Graduate',853']],
['Kaushambi', '50', 'SC', 'Uttar Pradesh [2000 Onwards]', 'Vinod Kumar Sonkar', 'Bharatiya Janta Party', '1738994', '910038', '52.3 %', '42847', '4.7%', '0', 'Graduate',227']],
['Kendrapara', '15', 'GEN', 'Orissa', 'Baijayant Panda', 'Biju Janata Dal', '1555444', '1140999', '73.4 %', '209108', '18.3%', '0', 'Graduate Professional',,
['Keonjhar', '4', 'ST', 'Orissa', 'Sakuntala Laguri', 'Biju Janata Dal', '1346683', '1083869', '80.5 %', '157317', '14.5%', '0', '10th Pass',,
['Khadoor Sahib', '3', 'GEN', 'Punjab', 'Ranjit Singh Brahmpura', 'Shiromani Akali Dal', '1563256', '1040518', '66.6 %', '100569', '9.7%', '0', '8th Pass',,
['Khagaria', '25', 'GEN', 'Bihar [2000 Onwards]', 'Choudhary Mahboob Ali Kaiser', 'Lok Jan Shakti Party', '1492068', '896231', '60.1 %', '76003', '8.5%', '1', 'Graduate',,
['Khajuraho', '8', 'GEN', 'Madhya Pradesh [2000 Onwards]', 'Nagendra Singh', 'Bharatiya Janta Party', '1702794', '874477', '51.4 %', '247490', '28.3%', '0', 'Graduate',,
['Khammam', '17', 'GEN', 'Telangana', 'Ponguleti Srinivasa Reddy', 'Yuvajana Sramika Rythu Congress Party', '1440289', '1182897', '82.1 %', '11974', '1.0%', '0', '12th Pass',,
['Khandwa', '28', 'GEN', 'Madhya Pradesh [2000 Onwards]', 'Nandkumar Singh Chouhan (NANDU BHAIYA)', 'Bharatiya Janta Party', '1759410', '1257327', '71.5 %', '259714', '20.7%', '0', 'Post Graduate',,
['Khargone', '27', 'ST', 'Madhya Pradesh [2000 Onwards]', 'Subhash Patel', 'Bharatiya Janta Party', '1703271', '1152525', '67.7 %', '257879', '22.4%', '0', 'Post Graduate',,
['Kheda', '17', 'GEN', 'Gujarat', 'Chauhan Devusinh Jesingbhai (CHAUHAN DEVUSINH)', 'Bharatiya Janta Party', '1599476', '955906', '59.8 %', '232901', '24.4%', '0', '12th Pass',,
['Kheri', '28', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Ajay Kumar', 'Bharatiya Janta Party', '1679466', '1077868', '64.2 %', '110274', '10.2%', '2', 'Graduate Professional',000']],
['Khunti', '11', 'ST', 'Jharkhand', 'Karia Munda', 'Bharatiya Janta Party', '1111852', '736955', '66.3 %', '92248', '12.5%', '0', 'Post Graduate',,
['Kishanganj', '10', 'GEN', 'Bihar [2000 Onwards]', 'Mohammad Asrarul Haque', 'Indian National Congress', '1438990', '928490', '64.5 %', '194612', '21.0%', '2', 'Post Graduate',,
['Kodarma', '5', 'GEN', 'Jharkhand', 'Ravindra Kr. Ray', 'Bharatiya Janta Party', '1639629', '1024906', '62.5 %', '98654', '9.6%', '0', 'Doctorate',,
['Kokrajhar', '5', 'ST', 'Assam', 'Naba Kumar Sarania (HIRA)', 'Independent', '1505476', '1223869', '81.3 %', '355779', '29.1%', '3', '12th Pass',,
['Kolar', '28', 'SC', 'Karnataka', 'K.H.Muniyappa', 'Indian National Congress', '1492975', '1127323', '75.5 %', '47850', '4.2%', '0', 'Graduate Professional',000']],
['Kolhapur', '47', 'GEN', 'Maharashtra', 'Dhananjay Bhimrao Mahadik', 'Nationalist Congress Party', '1758300', '1260289', '71.7 %', '33259', '2.6%', '1', 'Graduate',000']],
['Kolkata Dakshin', '23', 'GEN', 'West Bengal', 'Subrata Bakshi', 'All India Trinamool Congress', '1685296', '1167979', '69.3 %', '136339', '11.7%', '0', 'Graduate Professional',,
['Kolkata Uttar', '24', 'GEN', 'West Bengal', 'Sudip Bandyopadhyay', 'All India Trinamool Congress', '1433985', '955778', '66.7 %', '96226', '10.1%', '1', 'Graduate',,
['Kollam', '18', 'GEN', 'Kerala', 'N.K.Premachandran', 'Revolutionary Socialist Party', '1219415', '879056', '72.1 %', '37649', '4.3%', '1', 'Graduate Professional',,
['Koppal', '8', 'GEN', 'Karnataka', 'Karadi Sanganna Amarappa', 'Bharatiya Janta Party', '1535105', '1006508', '65.6 %', '32414', '3.2%', '1', '10th Pass',,
['Koraput', '21', 'ST', 'Orissa', 'Jhina Hikaka', 'Biju Janata Dal', '1300437', '989444', '76.1 %', '19328', '2.0%', '0', 'Post Graduate',,
['Korba', '4', 'GEN', 'Chhattisgarh', 'Dr. Banshilal Mahto', 'Bharatiya Janta Party', '1419610', '1052720', '74.2 %', '4265', '0.4%', '0', 'Graduate Professional',,
['Kota', '24', 'GEN', 'Rajasthan', 'Om Birla', 'Bharatiya Janta Party', '1744539', '1154960', '66.2 %', '200782', '17.4%', '2', 'Post Graduate',,
['Kottayam', '14', 'GEN', 'Kerala', 'Jose K. Mani', 'Kerala Congress(M)', '1161463', '831636', '71.6 %', '120599', '14.5%', '0', 'Post Graduate',,
['Kozhikode', '5', 'GEN', 'Kerala', 'M .K Raghavan', 'Indian National Congress', '1182484', '943009', '79.8 %', '16883', '1.8%', '0', 'Graduate',,
['Krishnagiri', '9', 'GEN', 'Tamil Nadu', 'Ashok Kumar.K', 'All India Anna Dravida Munnetra Kazhagam', '1379957', '1068391', '77.4 %', '206591', '19.3%', '3', '10th Pass',,
