pc_name,pc_no,pc_type,st_name,year,cand_name,cand_sex,partyname,partyabbre,totvotpoll,electors
Agra,17,GEN,Uttar Pradesh,2014,Kuldeep,M,Independent,IND,1401,1113415
Agra,17,GEN,Uttar Pradesh,2014,Kedari Lal,M,Independent,IND,1567,1113415
Agra,17,GEN,Uttar Pradesh,2014,Ram Saran,M,Independent,IND,1643,1113415
Agra,17,GEN,Uttar Pradesh,2014,Banwari Lal Bhargav,M,Independent,IND,1792,1113415
Agra,17,GEN,Uttar Pradesh,2014,Jagmohan Singh Verma,M,Independent,IND,1814,1113415
Agra,17,GEN,Uttar Pradesh,2014,Kunj Bihari,M,Independent,IND,2791,1113415
Agra,17,GEN,Uttar Pradesh,2014,Raghuveer Prasad (Babaji),M,Independent,IND,2905,1113415
Agra,17,GEN,Uttar Pradesh,2014,Bednath Patel,M,Apna Dal,AD,3100,1113415
Agra,17,GEN,Uttar Pradesh,2014,Ammar Rizvi,M,Indian National Congress,INC,101759,1113415
Agra,17,GEN,Uttar Pradesh,2014,Mukhtar Anis,M,Samajwadi Party,SP,131650,1113415
Agra,17,GEN,Uttar Pradesh,2014,Janardan Prasad Misra,M,Bharatiya Janata Party,BJP,174758,1113415
Agra,17,GEN,Uttar Pradesh,2014,Rajesh Verma,M,Bahujan Samaj Party,BSP,211120,1113415
Akbarpur,18,SC,Uttar Pradesh,2014,Mohan Lal,M,Independent,IND,356,1089677
Akbarpur,18,SC,Uttar Pradesh,2014,Vinod Kumar,M,Independent,IND,982,1089677
Akbarpur,18,SC,Uttar Pradesh,2014,Satya Prakash,M,Independent,IND,1568,1089677
Akbarpur,18,SC,Uttar Pradesh,2014,Rajneesh Kumar Verma,M,Independent,IND,1751,1089677
Akbarpur,18,SC,Uttar Pradesh,2014,Pyare Lal Rawat,M,Independent,IND,2788,1089677
Akbarpur,18,SC,Uttar Pradesh,2014,Ram Lal,M,Independent,IND,3100,1089677
Akbarpur,18,SC,Uttar Pradesh,2014,Ram Kishore Choudhary,M,Apna Dal,AD,4906,1089677
Akbarpur,18,SC,Uttar Pradesh,2014,Brij Behari,M,Communist Party Of India,CPI,6817,1089677
Akbarpur,18,SC,Uttar Pradesh,2014,Ram Pal Chaudhary,M,Independent,IND,12471,1089677
Akbarpur,18,SC,Uttar Pradesh,2014,Ram Lal Rahi,M,Indian National Congress,INC,116571,1089677
Akbarpur,18,SC,Uttar Pradesh,2014,Ram Pal Verma,M,Akhil Bhartiya Lok Tantrik Congress,ABLTC,146658,1089677
Akbarpur,18,SC,Uttar Pradesh,2014,Ram Shankar Bhargav,M,Bahujan Samaj Party,BSP,155072,1089677
Akbarpur,18,SC,Uttar Pradesh,2014,Sushila Saroj,F,Samajwadi Party,SP,159279,1089677
Akbarpur,19,SC,Uttar Pradesh,2014,Jitendra,M,Independent,IND,441,1083894
Akbarpur,19,SC,Uttar Pradesh,2014,Avadhesh,M,Independent,IND,782,1083894
Akbarpur,19,SC,Uttar Pradesh,2014,Arjun,M,Independent,IND,1422,1083894
Akbarpur,19,SC,Uttar Pradesh,2014,Rameshwar Dayal,M,Independent,IND,2170,1083894
Akbarpur,19,SC,Uttar Pradesh,2014,Dr. Mahesh Prasad,M,Apna Dal,AD,4131,1083894
Akbarpur,19,SC,Uttar Pradesh,2014,Dileep Kumar Munna,M,Indian National Congress,INC,16203,1083894
