Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
2143,Gajjala Rama Subba Reddy,KADAPA,Pyramid Party of India,0,10th Pass,"Rs 5,35,800",Rs 0
2144,Gajresh Kumar,BIJNOR,IND,1,Graduate,"Rs 2,66,000",Rs 0
2145,Gajula Jakeer Hussain,KURNOOL,Jai Samaikyandhra Party,0,Graduate,"Rs 15,85,000","Rs 60,000"
2146,Gamar Vadhabhai Radhabhai,BANASKANTHA,IND,0,12th Pass,"Rs 6,60,000",Rs 0
2147,Gandavarapu Samanya,CHITTOOR,Yuvajana Sramika Rythu Congress Party,0,Doctorate,"Rs 2,92,54,634","Rs 3,37,949"
2148,Gandhi Dilipkumar Mansukhlal,AHMEDNAGAR,BJP,16,10th Pass,"Rs 6,53,16,725","Rs 3,41,76,876"
2149,"Gandhi, P.",NILGIRIS,INC,0,Graduate,"Rs 35,75,000","Rs 5,38,000"
2150,Gandhi.tvs,KRISHNAGIRI,IND,0,Graduate,"Rs 35,033",Rs 0
2151,Gandhirajan S,DINDIGUL,DMK,0,Graduate Professional,"Rs 6,43,18,720","Rs 1,30,01,000"
2152,Gandhiselvan.s,NAMAKKAL,DMK,0,Post Graduate,"Rs 3,30,49,195","Rs 8,00,000"
2153,Ganesan S,CHENNAI SOUTH,SUCI(C),0,Graduate Professional,"Rs 3,29,01,000",Rs 0
2154,Ganesan.s.,TENKASI,IND,0,Post Graduate,"Rs 1,85,000",Rs 0
2155,Ganesh,TIKAMGARH,IND,0,5th Pass,"Rs 20,000",Rs 0
2156,Ganesh Bag,ARAMBAG,Jharkhand Disom Party,0,8th Pass,Nil,Rs 0
2157,Ganesh Bapurao Patil,RAMTEK,GGP,0,5th Pass,"Rs 52,20,000","Rs 20,000"
2158,Ganesh Bhimrao Budhe,MUMBAI SOUTH CENTRAL,IND,0,12th Pass,"Rs 60,000","Rs 50,000"
2159,Ganesh Ji Tripathi,PHULPUR,Rashtriya Bandhutwa Party,1,Graduate,"Rs 77,17,668",Rs 0
2160,Ganesh Kumar,SAMASTIPUR,AAP,0,10th Pass,"Rs 22,62,533",Rs 0
2161,Ganesh Mukhiya Nishad,KHAGARIA,Sarvajan Kalyan Loktantrik Party,1,12th Pass,"Rs 68,29,298",Rs 0
