Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1,Kaushal Yadav,NAWADA,JD(U),8,Post Graduate,"Rs 15,45,66,136","Rs 26,04,969"
2,M. Aamir Rashadi,AZAMGARH,Rashtriya Ulama Council,1,Others,"Rs 21,91,523",Rs 0
3,Rakesh Kumar Giri,MAHARAJGANJ,IND,0,Graduate Professional,"Rs 3,06,023",Rs 0
4,(kuppal)g.devadoss,CHENNAI SOUTH,IND,0,8th Pass,"Rs 36,30,000","Rs 8,50,000"
5,(maj Gen (retd.) ) Bhuwan Chandra Khanduri (avsm),GARHWAL,BJP,0,Graduate Professional,"Rs 4,43,57,368",Rs 0
6,A Biju,ALATHUR,IND,0,8th Pass,"Rs 5,64,425","Rs 1,75,000"
7,A N Radhakrishnan,ERNAKULAM,BJP,0,Graduate,"Rs 78,13,475",Rs 0
8,A Nelson,SIVAGANGA,IND,0,12th Pass,"Rs 37,322",Rs 0
9,A P Jithender Reddy,MAHBUBNAGAR,TRS,4,Graduate,"Rs 14,08,31,576","Rs 13,86,969"
10,A Pandian,ANDAMAN AND NICOBAR ISLANDS,AIFB,0,12th Pass,"Rs 8,59,410","Rs 3,50,000"
11,A Prasad,KOLAR,IND,0,10th Pass,"Rs 8,40,000",Rs 0
12,A Sampath,ATTINGAL,CPI(M),1,Doctorate,"Rs 1,77,91,149","Rs 14,21,392"
13,A Thavamani,MADURAI,BSP,0,Illiterate,"Rs 51,000",Rs 0
14,A Vijayaraghavan,KOZHIKODE,CPI(M),0,Graduate Professional,"Rs 57,57,792","Rs 1,52,305"
15,A. Devadas,BELLARY,SUCI(C),0,10th Pass,"Rs 11,54,658",Rs 0
16,A. Irudayadass,CHENNAI SOUTH,IND,0,Graduate,"Rs 5,51,640",Rs 0
17,A. Jaiganesh,CHENNAI SOUTH,Lok Satta Party,0,Graduate,"Rs 58,55,905",Rs 0
18,A. Josekutty,KOLLAM,IND,0,10th Pass,"Rs 5,45,117","Rs 2,24,328"
19,A. Magesh,CHENNAI SOUTH,IND,0,Graduate,"Rs 68,94,841","Rs 66,500"
20,A. P. Shamseer,VADAKARA,IND,0,Literate,"Rs 55,620",Rs 0
21,A. Raghunath Varma,BERHAMPUR,IND,0,Post Graduate,"Rs 2,70,800",Rs 0
22,A. Shadhick Batcha,TIRUCHIRAPPALLI,IND,0,Post Graduate,"Rs 7,52,760","Rs 7,00,000"
23,A.arunmozhithevan,CUDDALORE,AIADMK,9,Graduate Professional,"Rs 1,57,65,250",Rs 0
24,A.baskar,CUDDALORE,IND,0,10th Pass,"Rs 11,00,000",Rs 0
25,A.ganesan,ARANI,BSP,0,8th Pass,"Rs 21,10,000",Rs 0
26,A.govindasamy,KALLAKURICHI,IND,0,8th Pass,"Rs 18,91,000","Rs 3,00,000"
27,A.hamid Sh. Habib,DHULE,IND,3,8th Pass,"Rs 63,500",Rs 0
28,A.k. Aggarwal,NORTH EAST DELHI,Agar Jan Party,1,10th Pass,"Rs 1,40,58,166",Rs 0
29,A.k. Aggarwal,VARANASI,Agar Jan Party,1,10th Pass,"Rs 1,40,58,166",Rs 0
30,A.k. Mohan,DURG,AITC,0,10th Pass,"Rs 2,90,000",Rs 0
31,A.k.moorthy,ARANI,PMK,0,Post Graduate,"Rs 5,52,71,210","Rs 1,70,08,423"
32,A.k.parashurama Kotemallur,DAVANAGERE,BSP,0,12th Pass,"Rs 2,15,000",Rs 0
33,A.k.perumal,KALLAKURICHI,Jharkhand Mukti Morcha (Ulgulan),0,Post Graduate,"Rs 53,02,255",Rs 0
34,A.k.salahudeen,KOLLAM,SDPI,1,12th Pass,"Rs 65,62,365",Rs 0
35,A.k.sheikdavood,TIRUPPUR,IND,0,Graduate,Nil,Rs 0
36,A.kannan,MADURAI,IND,0,8th Pass,"Rs 2,62,590",Rs 0
37,A.krishnappa,TUMKUR,JD(S),0,Graduate,"Rs 70,18,33,242","Rs 17,50,31,509"
38,A.m.h. Nazeem,PONDICHERRY,DMK,3,12th Pass,"Rs 59,30,000","Rs 60,000"
39,A.m.smitha,VADAKARA,CPI(ML) Red star,0,Graduate,"Rs 22,000",Rs 0
40,A.mahadevan,ARANI,IND,0,12th Pass,"Rs 5,77,000",Rs 0
41,A.mogheeth Khan,TIRUPPUR,IND,0,Graduate,"Rs 32,53,500","Rs 14,75,000"
42,A.p. Ahamad,HASSAN,BSP,0,Illiterate,"Rs 11,00,000","Rs 5,00,000"
43,A.ponnusamy,TIRUPPUR,IND,0,Literate,"Rs 15,81,000",Rs 0
44,A.r. Krishna Murthy,CHAMARAJANAGAR,BJP,0,Post Graduate,"Rs 4,12,81,286","Rs 28,86,427"
45,A.ramesh,VILUPPURAM,IND,0,10th Pass,"Rs 3,50,000",Rs 0
46,A.s.dsilva,TUMKUR,AAP,0,Graduate,"Rs 3,32,29,897",Rs 0
47,A.shajahan,KALLAKURICHI,IND,0,Graduate Professional,"Rs 44,02,000","Rs 3,25,000"
48,A.t. Dadakhalandar,DAVANAGERE,IND,0,10th Pass,"Rs 36,042","Rs 19,623"
49,A.v.thamarakshan,ALAPPUZHA,Revolutionary Socialist Party of Kerala (B),1,Post Graduate,"Rs 1,06,41,399",Rs 0
50,Aaftab Alam Khan,SANT KABIR NAGAR,AAP,0,Graduate Professional,"Rs 5,78,842",Rs 0
51,"Aaron Rashid, J.m.",THENI,INC,0,12th Pass,"Rs 64,96,32,943","Rs 83,18,576"
52,Aasutosh Verma,GIRIDIH,AITC,0,Graduate Professional,"Rs 38,48,28,136","Rs 4,65,46,450"
53,Aayar Muljibhai Khanabhai,AHMEDABAD WEST,IND,0,10th Pass,"Rs 4,30,286",Rs 0
54,Ab Hamid Malik,BARAMULLA,IND,0,Graduate Professional,"Rs 1,06,75,000",Rs 0
55,Abanindra Nath Baidya,MATHURAPUR,IND,0,10th Pass,"Rs 56,279","Rs 6,000"
56,Abbas Hussain Shaikh,MUMBAI SOUTH CENTRAL,SP,3,10th Pass,"Rs 79,67,355","Rs 2,58,960"
57,Abbas Mothalappara,KASARAGOD,AITC,0,10th Pass,"Rs 1,02,000",Rs 0
58,Abburi Koteswara Rao,GUNTUR,Pyramid Party of India,0,10th Pass,"Rs 1,76,20,000","Rs 38,00,000"
59,Abdul Ahad Mir,ANANTNAG,IND,0,12th Pass,"Rs 1,79,50,000",Rs 0
60,Abdul Aleem,HARDWAR,IND,0,Post Graduate,"Rs 62,58,320",Rs 0
61,Abdul Amir Amiro,CHANDNI CHOWK,IND,0,5th Pass,"Rs 41,22,551",Rs 0
62,Abdul Azeem,BANGALORE NORTH,JD(S),0,Post Graduate,"Rs 15,89,09,760",Rs 0
63,Abdul Aziz,NAGAUR,BSP,0,Graduate,"Rs 24,00,000",Rs 0
64,Abdul Aziz Bhartiya,JAIPUR,Rashtriya Ulama Council,0,Graduate,"Rs 67,000",Rs 0
65,Abdul Bari Siddiqui,MADHUBANI,RJD,3,12th Pass,"Rs 1,63,43,817","Rs 27,18,221"
66,Abdul Basit Ibrahim Faith,MUMBAI SOUTH,IND,0,Graduate,"Rs 8,88,656",Rs 0
67,Abdul Gani,NIZAMABAD,B. C. United Front,2,Graduate,"Rs 36,33,263","Rs 7,05,948"
68,Abdul Hafeez Abdul Aziz,BULDHANA,BSP,0,12th Pass,"Rs 4,25,000","Rs 2,25,000"
69,Abdul Hameed,BIDAR,Welfare Party of India,0,Post Graduate,"Rs 1,52,87,118",Rs 0
70,Abdul Hussain,BARAMULLA,IND,0,Others,"Rs 2,14,41,634","Rs 6,97,808"
71,Abdul Jabbar K K,KANNUR,SDPI,4,10th Pass,"Rs 34,03,545",Rs 0
72,Abdul Jaleel,WAYANAD,SDPI,0,Graduate,"Rs 88,13,205",Rs 0
73,Abdul Kareem,CHALAKUDY,RJD,0,10th Pass,"Rs 27,46,000",Rs 0
74,Abdul Kareem Khan,NIZAMABAD,IND,0,8th Pass,"Rs 68,50,000","Rs 8,00,000"
75,Abdul Khaleque,MALDAHA UTTAR,AIUDF,0,Graduate,"Rs 43,67,584","Rs 9,80,000"
76,Abdul Latif,GURGAON,IND,0,5th Pass,"Rs 50,000",Rs 0
77,Abdul Latif Abdul Kadir Shaikh,MUMBAI SOUTH,IND,3,8th Pass,"Rs 33,93,500",Rs 0
78,Abdul Majid Chouhan,JAMMU,IND,0,10th Pass,"Rs 26,00,000",Rs 0
79,Abdul Mannan,SREERAMPUR,INC,1,Graduate,"Rs 22,06,559",Rs 0
80,Abdul Mannan Barbhuiya,SILCHAR,AAP,0,Graduate,"Rs 10,42,000","Rs 9,00,000"
81,Abdul Mannan Hossain,MURSHIDABAD,INC,1,Graduate,"Rs 1,38,46,286",Rs 0
82,Abdul Muneer,LAKSHADWEEP,CPI(M),0,Post Graduate,"Rs 13,95,365",Rs 0
83,Abdul Rahim,HAZARIBAGH,Bahujan Mukti Party,0,Graduate,"Rs 18,00,000",Rs 0
84,Abdul Rahman,ARARIA,BSP,0,Literate,"Rs 8,13,848",Rs 0
85,"Abdul Rahman, B.",VELLORE,IND,0,10th Pass,"Rs 10,36,500",Rs 0
86,"Abdul Rahman, M.",VELLORE,IUML,0,Post Graduate,"Rs 4,68,64,136","Rs 98,36,275"
87,"Abdul Rahman, N.",VELLORE,IND,0,10th Pass,"Rs 5,30,000",Rs 0
88,"Abdul Rahman, R.",PERAMBALUR,IND,0,10th Pass,"Rs 81,65,500","Rs 3,40,000"
89,Abdul Rashid Sheikh,BARAMULLA,IND,0,Graduate,"Rs 23,01,000","Rs 8,83,000"
90,Abdul Rashid Tantray,SRINAGAR,IND,0,10th Pass,"Rs 4,10,000",Rs 0
91,Abdul Safiq Khan,RAIPUR,IND,0,10th Pass,"Rs 5,82,300",Rs 0
92,Abdul Salam,GARHWAL,IND,0,Illiterate,"Rs 21,70,500",Rs 0
93,Abdul Salam N U,KASARAGOD,SDPI,1,Post Graduate,"Rs 36,20,329","Rs 11,82,188"
94,"Abdul Salam, A.",COIMBATORE,IND,0,5th Pass,"Rs 17,68,600","Rs 7,00,000"
95,Abdul Sami Salmani,NORTH EAST DELHI,BSP,0,Others,"Rs 43,31,561","Rs 1,60,000"
96,Abdul Tahir (bablu - Advocate),BHOPAL,IND,0,Graduate Professional,"Rs 25,73,572","Rs 1,600"
97,Abdul Wafati Ansari Urf Yuvraj Tailors,REWA,Samata Party,0,10th Pass,"Rs 11,31,000","Rs 12,00,000"
98,Abdul Waheed Shaik,GUNTUR,INC,0,10th Pass,"Rs 76,54,500","Rs 70,00,000"
99,Abdul Wahid I,SALEM,IND,0,Post Graduate,"Rs 1,800",Rs 0
100,Abdur Rahaman,KATIHAR,Bharatiya Momin Front,0,12th Pass,"Rs 6,27,100","Rs 35,000"
101,Abdur Rezak Sk,TAMLUK,IND,0,12th Pass,"Rs 3,68,000","Rs 8,00,000"
102,Abdurahiman Vadakkathinakath,PONNANI,IND,0,8th Pass,"Rs 54,88,050",Rs 0
103,Abdurahiman Varikottil,PONNANI,IND,0,Literate,"Rs 1,31,10,077",Rs 0
104,Abdurahiman Vayarakath,PONNANI,IND,0,Literate,"Rs 30,37,410","Rs 3,75,000"
105,Abdus Sadek Sarkar,BALURGHAT,AIUDF,2,Graduate Professional,"Rs 1,09,07,085","Rs 30,64,329"
106,Abdus Sattar Mujahed,SECUNDERABAD,Akhil Bharatiya Muslim League (Secular),1,Graduate,"Rs 17,85,000",Rs 0
107,Abdus Sayeed,JANGIPUR,SUCI(C),0,12th Pass,"Rs 12,04,412",Rs 0
108,Abdus Sukur,BAHARAMPUR,IUML,0,Others,"Rs 68,29,000",Rs 0
109,Abha Pandey,MAHASAMUND,Chhattisgarh Swabhiman Manch,0,8th Pass,"Rs 57,08,000","Rs 1,50,000"
110,Abhay Subrao Kulkarni,THANE,IND,0,8th Pass,"Rs 2,000",Rs 0
111,Abhijit Anil Apte,MAVAL,IND,0,12th Pass,"Rs 4,62,306",Rs 0
112,Abhijit Das (bobby),DIAMOND HARBOUR,BJP,2,Post Graduate,"Rs 41,53,000",Rs 0
113,Abhijit Mukherjee,JANGIPUR,INC,0,Graduate Professional,"Rs 6,30,14,502","Rs 1,51,60,000"
114,Abhijit Ramesh Panse,THANE,MNS,1,Graduate,"Rs 69,95,050","Rs 58,00,000"
115,Abhijit Sarkar,JANGIPUR,IND,0,5th Pass,"Rs 92,600",Rs 0
116,Abhijit Shriram Hegshetye,RATNAGIRI SINDHUDURG,AAP,0,Post Graduate,"Rs 2,06,92,366","Rs 42,73,594"
117,Abhilakh Rawat,BARABANKI,IND,0,10th Pass,"Rs 4,27,900",Rs 0
118,Abhimanyu Singh Patel,VARANASI,Bahujan Mukti Party,0,12th Pass,"Rs 24,45,000","Rs 1,39,257"
119,Abhimod,PALAKKAD,IND,0,Post Graduate,"Rs 29,08,779","Rs 3,70,000"
120,Abhinesh Maharshi,CHURU,BSP,0,Post Graduate,"Rs 3,82,38,575","Rs 41,30,000"
121,Abhishek Banerjee,DIAMOND HARBOUR,AITC,0,Post Graduate,"Rs 1,51,99,272",Rs 0
122,Abhishek Mishra,LUCKNOW,SP,0,Doctorate,"Rs 1,51,97,365","Rs 7,00,000"
123,Abhishek Singh,RAJNANDGAON,BJP,0,Graduate Professional,"Rs 4,40,93,207",Rs 0
124,Aboobacker Siddique,KASARAGOD,IND,0,8th Pass,"Rs 38,000",Rs 0
125,Aboobakker Sidique,PALAKKAD,AITC,0,Illiterate,"Rs 47,004",Rs 0
126,Abraham Benhur,WAYANAD,IND,0,Post Graduate,"Rs 99,99,242","Rs 14,21,961"
127,Abrar Ahmad Mahmud Khan,YAVATMAL WASHIM,Welfare Party of India,0,Others,"Rs 62,99,991","Rs 7,00,000"
128,Abrar Beg Sarvar Beg Mirza,JALGAON,RPI,0,8th Pass,"Rs 85,000",Rs 0
129,Abu Farhan Azmi,MUMBAI NORTH CENTRAL,SP,0,12th Pass,"Rs 63,76,88,791","Rs 1,58,72,212"
130,Abu Hasem Kahn Chowdhury,MALDAHA DAKSHIN,INC,0,Doctorate,"Rs 1,15,60,825","Rs 6,54,320"
131,Abu Naseem Khan,MAINPURI,Peace Party,0,12th Pass,"Rs 52,25,000","Rs 1,60,000"
132,Abu Qaiser,BHAGALPUR,JD(U),1,Graduate,"Rs 4,51,38,014","Rs 17,00,000"
133,Abul Awal,BARPETA,SP,0,12th Pass,"Rs 12,24,844","Rs 3,79,980"
134,Abul Hasan,RANCHI,IND,0,Post Graduate,"Rs 1,65,500",Rs 0
135,Abul Hasnat Khan,MALDAHA DAKSHIN,CPI(M),0,Post Graduate,"Rs 1,07,85,663",Rs 0
136,Abul Qasem,ULUBERIA,Indian Unity Centre,0,Post Graduate,"Rs 46,13,889",Rs 0
137,Abullais.t.p,PONNANI,IND,0,12th Pass,"Rs 66,92,346",Rs 0
138,Acharya Pramod Krishnam,SAMBHAL,INC,0,Post Graduate,"Rs 4,99,00,443",Rs 0
139,Achchhelal,LALGANJ,IND,0,5th Pass,"Rs 12,51,500",Rs 0
140,Achhe Lal Gupta,GORAKHPUR,IND,0,8th Pass,"Rs 17,38,500","Rs 6,00,000"
141,Achutananda Nag,BOLANGIR,Ambedkarite Party of India,0,Graduate Professional,"Rs 2,08,500",Rs 0
142,Ad. Dr. Kolekar Anita Balasaheb,BHIWANDI,Prabuddha Republican Party,0,Doctorate,"Rs 4,50,000",Rs 0
143,Ad. Mahesh Vitthalrao Kharat,JALNA,IND,0,Post Graduate,"Rs 1,23,000",Rs 0
144,Ad. Tanaji Sukdeo Jaibhave,NASHIK,CPI(M),0,Graduate Professional,"Rs 72,79,479","Rs 23,69,620"
145,Adagooru H Vishwanath,MYSORE,INC,0,Graduate Professional,"Rs 3,01,87,177",Rs 0
146,Adala Prabhakara Reddy,NELLORE,TDP,0,12th Pass,"Rs 1,28,25,85,640","Rs 13,16,46,350"
147,Adarsh Shashtri,LUCKNOW,IND,0,Post Graduate,"Rs 1,88,79,925","Rs 61,07,118"
148,Adarsh Shastri,ALLAHABAD,AAP,0,Graduate,"Rs 2,99,67,925","Rs 61,07,118"
149,Adesh Tyagi,MIRZAPUR,IND,0,Graduate,"Rs 97,15,000","Rs 3,46,480"
150,Adhalrao Shivaji Dattatrey,SHIRUR,SHS,10,Others,"Rs 25,38,80,475","Rs 6,18,10,866"
151,Adhir Ranjan Chowdhury,BAHARAMPUR,INC,16,10th Pass,"Rs 8,14,65,854",Rs 0
152,Aditya Kiritkumar Raval,AHMEDABAD EAST,Vishva Hindustani Sangathan,1,12th Pass,"Rs 6,42,000","Rs 50,000"
153,Aditya Narayan,NAWADA,IND,0,Graduate,"Rs 1,57,70,000",Rs 0
154,Aditya Rajan Shirodkar,MUMBAI SOUTH CENTRAL,MNS,6,Graduate,"Rs 2,28,50,061","Rs 58,11,022"
155,Adityanath,GORAKHPUR,BJP,3,Graduate,"Rs 72,17,674",Rs 0
156,Adsul Anandrao Vithoba,AMRAVATI,SHS,1,Graduate,"Rs 3,25,96,257","Rs 15,87,104"
157,Adv Dipak Dattaram Nevgi,RATNAGIRI SINDHUDURG,Socialist Party (India),0,Post Graduate,"Rs 1,34,31,575","Rs 92,000"
158,Adv. A. Jayaram,THRISSUR,BSP,0,Graduate Professional,"Rs 2,47,02,613","Rs 6,28,000"
159,Adv. Ajay Sitaram Karande Patil,PARBHANI,SP,0,Post Graduate,"Rs 95,10,000","Rs 3,30,000"
160,Adv. Bandya Sane Alias Bandu Sampatrao Sane,AMRAVATI,IND,0,Post Graduate,"Rs 31,300",Rs 0
161,Adv. Basheer Alady,KASARAGOD,BSP,0,Post Graduate,"Rs 7,85,138",Rs 0
162,Adv. Chirayinkeezhu Gopinathan,ATTINGAL,RPI(A),0,Graduate Professional,"Rs 9,20,662","Rs 1,00,000"
163,Adv. Deelip Kulkarni,NANDED,IND,0,Graduate Professional,"Rs 29,90,000","Rs 50,000"
164,Adv. Jawahar Leonardo Dias,SOUTH GOA,Goemcarancho Otrec Astro,1,Post Graduate,"Rs 56,42,23,740","Rs 4,84,000"
165,Adv. K. D. Shinde,SANGLI,JD(S),0,Post Graduate,"Rs 43,87,851","Rs 6,00,000"
166,Adv. M. R. Sarin,ATTINGAL,JD(U),0,Graduate Professional,"Rs 7,90,325","Rs 87,000"
167,Adv. Mahendra Dadasaheb Shinde,SHIRDI,BSP,0,Doctorate,"Rs 52,137","Rs 90,000"
168,Adv. N.sreeprakash,MALAPPURAM,BJP,0,Graduate Professional,"Rs 67,81,097","Rs 3,17,500"
169,Adv. Narendra Keshav Sawaikar,SOUTH GOA,BJP,0,Graduate Professional,"Rs 62,60,382",Rs 0
170,Adv. P. P. A. Sageer,WAYANAD,AAP,0,Graduate Professional,"Rs 45,39,401","Rs 57,788"
171,Adv. Peelipose Thomas,PATHANAMTHITTA,IND,1,Graduate Professional,"Rs 56,48,161","Rs 9,28,336"
172,Adv. Perurkada Harikumar,THIRUVANANTHAPURAM,SHS,4,Graduate Professional,"Rs 25,11,500",Rs 0
173,Adv. Prabhakar Mahaguji Dadmal,GADCHIROLI CHIMUR,RPI,0,Post Graduate,"Rs 5,60,000",Rs 0
174,Adv. Raju Mangeshkar,SOUTH GOA,CPI,1,Graduate Professional,"Rs 49,04,426",Rs 0
175,Adv. Ravindra Dnyandeo Bhojane,BULDHANA,Ambedkarite Party of India,0,Graduate Professional,"Rs 1,19,757",Rs 0
176,Adv. Sanjeev Sidram Sadafule,SOLAPUR,BSP,0,Graduate Professional,"Rs 23,97,559","Rs 6,25,000"
177,Adv. Savita Balkrishna Shinde,MADHA,AAP,0,Graduate Professional,"Rs 27,37,166",Rs 0
178,Adv. Shailendra Rameshwar Yavalkar,OSMANABAD,SP,0,Graduate Professional,"Rs 2,22,43,300","Rs 11,25,000"
179,Adv. Varsha Madgulkar,SATARA,IND,0,Graduate Professional,"Rs 1,30,52,635","Rs 87,06,000"
180,Adv.a.n.shamseer,VADAKARA,CPI(M),0,Graduate Professional,"Rs 13,30,825",Rs 0
181,Adv.bindhu Krishna,ATTINGAL,INC,2,Post Graduate,"Rs 37,64,729","Rs 8,53,967"
182,Adv.dadasaheb Alias Dhanu Bhikaji Walthare,BHANDARA GONDIYA,IND,0,Graduate Professional,"Rs 53,95,083",Rs 0
183,Adv.dean Kuriakose,IDUKKI,INC,1,Not Given,"Rs 3,14,050","Rs 4,11,719"
184,Adv.joice George,IDUKKI,IND,4,Post Graduate,"Rs 1,73,96,207","Rs 94,17,720"
185,Adv.m.a.bindu,ALAPPUZHA,SUCI(C),0,Graduate Professional,"Rs 35,43,000",Rs 0
186,Adv.p.k.jayakrishnan,MAVELIKKARA,BSP,0,Post Graduate,"Rs 1,54,10,000","Rs 4,00,000"
187,Adv.p.sudheer,MAVELIKKARA,BJP,8,Graduate Professional,"Rs 3,29,804",Rs 0
188,Adv.s.prahladan,KOLLAM,BSP,0,Graduate Professional,"Rs 2,16,45,000",Rs 0
189,Adv.shinde Ashok Dagdu,JALGAON,Prabuddha Republican Party,0,Post Graduate,"Rs 50,000",Rs 0
190,Adv.shivajirao Shivaramji Moghe,YAVATMAL WASHIM,INC,2,Graduate Professional,"Rs 4,26,89,718","Rs 1,13,15,807"
191,Adv.sobji Devalya Gavit,NANDURBAR,IND,0,Graduate Professional,"Rs 1,01,00,000","Rs 80,000"
192,Adv.subhash Balasaheb Patil (anna),MADHA,Bahujan Mukti Party,1,Post Graduate,"Rs 85,81,681","Rs 15,02,262"
193,Afzal Ansari,BALLIA,Qaumi Ekta Dal,3,Post Graduate,"Rs 6,90,36,111",Rs 0
194,Afzal Siddiqui,FATEHPUR,BSP,0,12th Pass,"Rs 6,07,32,397",Rs 0
195,Aga Syed Mohsin,SRINAGAR,IND,0,Others,"Rs 65,50,000",Rs 0
196,Agasty Pradip,BARDHAMAN DURGAPUR,INC,2,Graduate Professional,"Rs 3,60,99,151","Rs 87,84,830"
197,Aghav Jayprakash Sitaram,BEED,IND,3,10th Pass,"Rs 1,51,000",Rs 0
198,Agoram. K,MAYILADUTHURAI,PMK,8,Graduate,"Rs 60,97,180","Rs 30,45,000"
199,Agrawal Kunjbihari Jugalkishor,JALNA,SP,4,Graduate,"Rs 5,01,58,221","Rs 2,72,883"
200,Ahamad Aziz Ahamad Mateen,AURANGABAD,IND,0,8th Pass,"Rs 2,40,000",Rs 0
201,Ahamed Hossain,KRISHNANAGAR,IUML,0,Post Graduate,"Rs 1,66,00,547",Rs 0
202,Aherwan Dharmender Rawat,FARIDABAD,IND,0,12th Pass,"Rs 61,09,500","Rs 3,35,000"
203,Ahir Hansraj Gangaram,CHANDRAPUR,BJP,11,10th Pass,"Rs 1,55,48,000","Rs 99,500"
204,Ahmad Hussain Ansari,DHANBAD,Jharkhand Disom Party,0,Graduate Professional,"Rs 1,12,86,622",Rs 0
205,Ahmad Parvez Iqbal Ahmad Nur Mohammad,YAVATMAL WASHIM,SP,1,Graduate,"Rs 39,57,500",Rs 0
206,Ahmed Sohel Siddiqui,VARANASI,IND,0,12th Pass,"Rs 5,35,403",Rs 0
207,Ahshan Ali,GURGAON,IND,0,Graduate,"Rs 20,90,000",Rs 0
208,Aithabathula Jogeswara Venkata Butchi Maheswara Rao,AMALAPURAM,INC,1,Post Graduate,"Rs 1,26,25,844","Rs 25,04,500"
209,Aiyyar Ganesh Rangayya,MUMBAI SOUTH CENTRAL,BSP,0,Graduate Professional,"Rs 3,42,00,185","Rs 26,50,000"
210,Ajad,MIRZAPUR,GGP,0,Literate,"Rs 2,77,000",Rs 0
211,Ajad Ali,GAUHATI,IND,0,Others,"Rs 12,71,997","Rs 5,36,237"
212,Ajad Geeta Prasad Sharma,NAWADA,IND,0,12th Pass,"Rs 70,80,000",Rs 0
213,Ajaj Julmoin Khan (ajaj Khan),NAGPUR,IND,1,12th Pass,"Rs 1,37,000",Rs 0
214,Ajay Agrawal,RAE BARELI,BJP,0,Graduate Professional,"Rs 1,73,65,819",Rs 0
215,Ajay Arjun Singh,SATNA,INC,2,Post Graduate,"Rs 25,48,76,883","Rs 1,38,45,072"
216,Ajay Ghosh,DIAMOND HARBOUR,SUCI(C),0,Post Graduate,"Rs 33,82,445",Rs 0
217,Ajay Kumar,SITAMARHI,IND,1,12th Pass,"Rs 7,16,000",Rs 0
218,Ajay Kumar,CHURU,IND,0,Post Graduate,"Rs 49,26,438",Rs 0
219,Ajay Kumar,JAMSHEDPUR,JVM(P),7,Post Graduate,"Rs 12,43,49,901","Rs 69,79,341"
220,Ajay Kumar,BHADOHI,Pragatisheel Manav Samaj Party,0,Post Graduate,"Rs 13,16,000",Rs 0
221,Ajay Kumar,KHERI,BJP,2,Graduate Professional,"Rs 2,65,05,977","Rs 1,00,00,000"
222,Ajay Kumar Bain,BASIRHAT,SUCI(C),0,Graduate,"Rs 13,07,472",Rs 0
223,Ajay Kumar Behera,JAGATSINGHPUR,CPI,0,Post Graduate,"Rs 51,37,088",Rs 0
224,Ajay Kumar Bhagat,JALANDHAR,IND,0,12th Pass,"Rs 76,000",Rs 0
225,Ajay Kumar Dubey,DHANBAD,INC,0,12th Pass,"Rs 74,84,762",Rs 0
226,Ajay Kumar Khemka,CHANDNI CHOWK,Kalyankari Jantantrik Party,0,Graduate,"Rs 47,24,526","Rs 6,25,000"
227,Ajay Kumar Panjabrao Hingankar,AKOLA,AAP,0,Graduate,"Rs 80,35,000","Rs 7,00,000"
228,Ajay Kumar Prabhakar,GONDA,Bahujan Mukti Party,0,Graduate Professional,"Rs 60,000",Rs 0
229,Ajay Kumar Sharma,JAIPUR RURAL,Jago Party,0,Graduate,"Rs 45,50,119",Rs 0
230,Ajay Maken,NEW DELHI,INC,1,Post Graduate,"Rs 6,10,98,675","Rs 5,00,000"
231,Ajay Nishad,MUZAFFARPUR,BJP,0,Graduate,"Rs 14,57,12,654","Rs 9,89,888"
232,Ajay Pal Singh,ETAWAH,BSP,1,Post Graduate,"Rs 15,01,10,000",Rs 0
233,Ajay Pali,BILASPUR,IND,0,Literate,"Rs 4,80,000","Rs 1,79,344"
234,Ajay Pratap Singh,SATNA,IND,0,12th Pass,"Rs 9,00,000",Rs 0
235,Ajay Rai,VARANASI,INC,9,Graduate,"Rs 87,21,893",Rs 0
236,Ajay Rawat,DHAR,BSP,0,12th Pass,"Rs 64,000",Rs 0
237,Ajay Shah Makrai,BETUL,INC,0,Post Graduate,"Rs 4,75,58,071","Rs 12,46,200"
238,Ajay Singla,CHANDIGARH,IND,2,10th Pass,"Rs 98,77,806",Rs 0
239,Ajay Tamta,ALMORA,BJP,0,12th Pass,"Rs 63,66,653","Rs 27,57,846"
240,Ajay Vasant Paithankar,PUNE,IND,0,Graduate,"Rs 1,40,80,500","Rs 2,37,000"
241,Ajay Verma,DHAURAHRA,Bharatiya Jan Kranti Dal (Democratic),0,Graduate,"Rs 12,81,743","Rs 1,85,000"
242,Ajay Verma,RAIPUR,Chhattisgarh Swabhiman Manch,0,Others,"Rs 3,88,35,962",Rs 0
243,Ajaydhar,MAHARAJGANJ,IND,0,12th Pass,"Rs 1,51,200",Rs 0
244,Ajaykumar Sarnaik,BAGALKOT,INC,0,Graduate,"Rs 50,13,21,313","Rs 10,05,87,230"
245,Ajaypal,BAGHPAT,IND,0,8th Pass,"Rs 57,90,000",Rs 0
246,Ajaypal,SIKAR,IND,0,10th Pass,"Rs 32,95,920","Rs 1,00,000"
247,Ajeet Kumar,ALLAHABAD,IND,0,12th Pass,"Rs 1,90,000",Rs 0
248,Ajinkya Dhondu Gawade,RATNAGIRI SINDHUDURG,IND,0,Graduate,"Rs 20,58,757","Rs 2,43,784"
249,Ajit Bhika Pawar,DINDORI,IND,0,Graduate,"Rs 95,500",Rs 0
250,Ajit Joy,THIRUVANANTHAPURAM,AAP,0,Post Graduate,"Rs 3,71,45,768","Rs 35,00,000"
