Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
234,KOTLA JAYASURYA PRAKASHA REDDY,Kurnool,INC,0,Graduate,"Rs 1,59,41,801","Rs 6,81,000"
235,KRISHNA MURARI MOGHE,Khargone,BJP,0,Graduate,"Rs 74,14,005","Rs 88,719"
236,KRISHNA TIRATH,Karol Bagh,INC,0,Graduate Professional,"Rs 64,15,254",Rs 0
237,"KRISHNAN, DR. C",Pollachi,MDMK,0,Graduate Professional,"Rs 26,86,691","Rs 2,00,000"
238,KRISHNASWAMY. A,Sriperumbudur,DMK,2,Graduate Professional,"Rs 22,14,854",Rs 0
239,KU. DEVENDRA SINGH YADAV,Etah,SP,0,Doctorate,"Rs 11,78,88,469","Rs 16,200"
240,KULDEEP BISHNOI,Bhiwani,INC,0,Graduate,"Rs 14,37,24,090","Rs 2,18,65,304"
241,KUNNUR MANJUNATH CHANNAPPA,Dharwad South,BJP,0,Post Graduate,"Rs 1,28,62,400","Rs 7,30,000"
242,KUNWAR JITIN PRASAD,Shahjahanpur,INC,0,Post Graduate,"Rs 1,71,13,691","Rs 6,52,823"
243,KUNWAR REWATI RAMAN SINGH URF MANI JI,Allahabad,SP,1,Graduate Professional,"Rs 2,28,37,000","Rs 10,50,000"
244,KUNWAR SARVRAJ SINGH,Aonla,JD(U),1,Graduate Professional,"Rs 1,42,81,673",Rs 0
245,KUPPUSAMI. C,Madras North,DMK,1,12th Pass,"Rs 95,37,668","Rs 1,56,696"
246,L. K. ADVANI,Gandhinagar,BJP,0,Graduate Professional,"Rs 1,30,42,443","Rs 5,54,000"
247,LAKSHMAN SINGH,Rajgarh,BJP,0,Graduate,"Rs 4,90,14,404","Rs 21,893"
248,LAL MANI PRASAD,Basti,BSP,0,Graduate,"Rs 10,71,480",Rs 0
249,LALCHANDRA,Robertsganj,BSP,0,Literate,"Rs 88,030","Rs 1,65,515"
250,LALIT MOHAN SUKLABAIDYA,Karimganj,INC,0,Post Graduate,"Rs 41,97,600","Rs 2,40,000"
251,LALMUNI CHAUBEY,Buxar,BJP,0,12th Pass,"Rs 84,31,336",Rs 0
252,LALU PRASAD,Chapra,RJD,7,Graduate Professional,"Rs 87,68,342","Rs 2,20,41,400"
253,LALU PRASAD,Madhepura,RJD,7,Graduate Professional,"Rs 87,68,340","Rs 2,20,41,400"
254,LAXMANRAO PANDURANG JADHAV (PATIL),Satara,NCP,0,10th Pass,"Rs 99,25,739","Rs 50,403"
255,LONAPPAN NAMBADAN,Mukundapuram,CPM,0,Others,"Rs 19,30,115",Rs 0
256,M. ANJAN KUMAR YADAV,Secunderabad,INC,0,12th Pass,"Rs 42,50,700","Rs 8,10,500"
257,M. P. VEERENDRA KUMAR,Calicut,JD(S),0,Post Graduate,"Rs 4,76,21,096","Rs 46,54,480"
258,M. SHIVANNA,Chamarajanagar,JD(S),1,Graduate,"Rs 9,42,100","Rs 10,000"
259,MADAN LAL SHARMA,Jammu,INC,0,10th Pass,"Rs 62,17,000","Rs 1,49,750"
260,MADHU GOUD YASKHI,Nizamabad,INC,0,Post Graduate,"Rs 14,27,18,537","Rs 3,25,60,000"
261,MADHUSUDAN MISTRY,Sabarkantha,INC,0,Post Graduate,"Rs 18,26,173","Rs 1,25,000"
262,MADHUSUDHAN REDDY THAKKALA,Adilabad,TRS,0,Graduate Professional,"Rs 75,50,000","Rs 1,20,000"
263,MAHAMEGHA BAHAN AIRA KHARBELA SWAIN,Balasore,BJP,0,Post Graduate,"Rs 10,10,000",Rs 0
264,MAHAVEER BHAGORA,Salumber,BJP,1,Post Graduate,"Rs 30,26,777",Rs 0
265,MAHAVEER PRASAD,Bansgaon,INC,0,Post Graduate,"Rs 89,44,794",Rs 0
266,Mahboob Zahedi,Katwa,CPM,0,10th Pass,"Rs 27,05,606","Rs 3,32,383"
