Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
408,RUBAB SAYEDA,Bahraich,SP,0,Post Graduate,"Rs 1,53,46,459",Rs 0
409,Rupchand Murmu,Jhargram,CPM,1,12th Pass,"Rs 10,41,089","Rs 1,01,870"
410,Rupchand Pal,Hooghly,CPM,0,Post Graduate,"Rs 8,93,720","Rs 4,35,000"
411,S. AJAYA KUMAR,Ottapalam,CPM,3,12th Pass,"Rs 10,83,876","Rs 7,80,000"
412,S. BANGARAPPA,Shimoga,BJP,2,Graduate,"Rs 3,33,02,318","Rs 82,98,000"
413,S. MALLIKARJUNAIAH,Tumkur,BJP,0,Post Graduate,"Rs 90,90,000","Rs 40,000"
414,S. P. Y. REDDY,Nandyal,INC,0,Graduate Professional,"Rs 6,46,46,900","Rs 1,33,74,000"
415,SACHIN PILOT,Dausa,INC,0,Post Graduate,"Rs 25,55,000",Rs 0
416,SAJJAN KUMAR,Outer Delhi,INC,1,Literate,"Rs 13,06,055","Rs 5,20,477"
417,SALEEM IQBAL SHERVANI,Budaun,SP,0,Graduate,"Rs 9,69,80,000","Rs 5,940"
418,Samik Lahiri,Diamond Harbour,CPM,0,Graduate,"Rs 2,32,000",Rs 0
419,Sanat Kumar Mandal,Joynagar,RSP,0,Graduate Professional,"Rs 21,89,190",Rs 0
420,SANDEEP DIKSHIT,East Delhi,INC,0,Post Graduate,"Rs 47,64,901","Rs 2,46,779"
421,SANGEETA KUMARI SINGH DEO,Bolangir,BJP,0,Graduate,"Rs 2,68,99,686","Rs 3,83,762"
422,SANSUMA KHUNGGUR BWISWMUTHIARY,Kokrajhar,IND,0,Graduate,"Rs 16,94,686",Rs 0
423,Santasri Chatterjee,Serampore,CPM,0,Graduate,"Rs 16,98,395",Rs 0
424,SANTOSH GANGWAR,Bareilly,BJP,0,Post Graduate,"Rs 70,43,413","Rs 2,50,154"
425,SARBANANDA SONOWAL,Dibrugarh,AGP,0,Graduate Professional,"Rs 20,38,397","Rs 7,58,854"
426,SARTAJ SINGH,Hoshangabad,BJP,0,Graduate,"Rs 1,48,78,898","Rs 6,54,724"
427,SARVEY SATHYANARAYANA,Siddipet,INC,0,Graduate Professional,"Rs 11,10,000","Rs 4,80,000"
428,SELJA,Ambala,INC,0,Post Graduate,"Rs 71,76,087",Rs 0
429,Seth Lakshman Chandra,Tamluk,CPM,0,Post Graduate,"Rs 8,87,175",Rs 0
430,SHAILENDRA KUMAR,Chail,SP,0,12th Pass,"Rs 93,37,424","Rs 10,92,000"
431,SHARANJIT SINGH DHILLON,Ludhiana,SAD,1,Graduate Professional,"Rs 98,42,137","Rs 11,76,489"
432,SHIBU SOREN,Dumka,JMM,4,10th Pass,"Rs 37,76,022","Rs 80,13,462"
433,SHINGADA DAMODAR BARKU,Dahanu,INC,0,10th Pass,"Rs 86,57,109",Rs 0
434,SHISH RAM OLA,Jhunjhunu,INC,0,10th Pass,"Rs 47,71,614","Rs 9,84,980"
435,SHIVANKAR MAHADEORAO SUKAJI,Chimur,BJP,0,Post Graduate,"Rs 44,12,847","Rs 1,97,913"
436,SHIVRAJ SINGH,Vidisha,BJP,2,Post Graduate,"Rs 58,14,600","Rs 2,87,640"
437,SHRICHAND KRIPLANI,Chittorgarh,BJP,0,Not Given,"Rs 24,48,887",Rs 0
438,SHRIPAD YESSO NAIK,Panaji,BJP,0,Graduate,"Rs 45,37,329","Rs 5,98,785"
439,SHRIPRAKASH JAISWAL,Kanpur,INC,0,10th Pass,"Rs 1,91,27,260",Rs 0
440,SHYAMA CHARAN GUPT,Banda,SP,0,Graduate Professional,"Rs 11,24,56,867",Rs 0
441,SITARAM SINGH,Sheohar,RJD,0,Graduate,"Rs 46,24,000",Rs 0
442,SITARAM YADAV,Sitamarhi,RJD,2,Graduate Professional,"Rs 48,05,008","Rs 4,04,410"
443,SOHAN POTAI,Kanker,BJP,0,Post Graduate,"Rs 21,13,856","Rs 71,932"
444,SOLANKI BHARATSINH MADHAVSINH,Anand,INC,0,Graduate Professional,"Rs 9,96,308",Rs 0
445,SOLANKI BHUPENDRASINH PRABHATSINH,Godhra,BJP,0,Graduate Professional,"Rs 27,24,746",Rs 0
446,SONIA GANDHI,Rae Bareli,INC,0,Others,"Rs 85,68,694",Rs 0
447,SONTOSH MOHAN DEV,Silchar,INC,0,Graduate,"Rs 1,23,56,601","Rs 1,70,759"
448,SREENIVASULU REDDY MAGUNTA,Ongole,INC,2,Graduate,"Rs 14,17,68,943",Rs 0
449,SUBBULAKSHMI JAGADEESAN,Tiruchengode,DMK,0,Graduate Professional,"Rs 87,34,674",Rs 0
450,SUBHASH MEHARIA,Sikar,BJP,0,Graduate,"Rs 1,32,67,020","Rs 5,34,287"
451,SUBODH KANT SAHAY,Ranchi,INC,0,Graduate,"Rs 1,22,91,253","Rs 8,29,561"
452,Subrata Bose,Barasat,AIFB,0,Graduate,"Rs 23,86,568","Rs 35,700"
453,SUDAM MARNDI,Mayurbhanj,JMM,4,12th Pass,"Rs 17,80,596",Rs 0
454,SUGAVANAM. E. G,Krishnagiri,DMK,1,Others,"Rs 51,21,291","Rs 19,91,138"
455,SUGRIB SINGH,Phulbani,BJD,0,Graduate,"Rs 8,69,000","Rs 3,26,000"
456,Sujan Chakraborty,Jadavpur,CPM,0,Doctorate,"Rs 10,46,232",Rs 0
457,SUKDEO PASWAN,Araria,BJP,1,10th Pass,"Rs 59,34,736","Rs 5,71,481"
458,SUKHBIR SINGH BADAL,Faridkot,SAD,1,Post Graduate,"Rs 13,38,11,603","Rs 1,73,59,781"
459,SUKHDEV SINGH DHINDSA,Sangrur,SAD,0,Graduate,"Rs 1,39,84,341",Rs 0
460,SUKHDEV SINGH LIBRA,Ropar,SAD,0,10th Pass,"Rs 1,03,32,944",Rs 0
461,SUMITRA MAHAJAN,Indore,BJP,0,Post Graduate,"Rs 44,22,500","Rs 12,50,000"
462,SUNIL DUTT,Mumbai North West,INC,1,Graduate,"Rs 20,43,21,510",Rs 0
463,Sunil Khan,Durgapur,CPM,0,Graduate,"Rs 27,96,700",Rs 0
464,SUNIL KUMAR MAHATO,Jamshedpur,JMM,3,Graduate,"Rs 30,58,500",Rs 0
465,SURAJ SINGH,Balia,LJNSP,17,Literate,"Rs 15,16,070","Rs 60,024"
466,SURAVARAM SUDHAKAR REDDY,Nalgonda,CPI,1,Graduate Professional,"Rs 19,90,000","Rs 9,62,600"
467,SURENDRA PRAKASH GOYAL,Hapur,INC,1,8th Pass,"Rs 61,64,616",Rs 0
468,SURESH CHANDEL,Hamirpur,BJP,0,Post Graduate,"Rs 64,26,759","Rs 10,69,724"
469,SURESH PRABHAKAR PRABHU,Rajapur,SHS,1,Doctorate,"Rs 45,20,169",Rs 0
470,SURYAKANTA PATIL,Hingoli,NCP,2,Graduate,"Rs 1,53,07,225","Rs 2,72,088"
471,SUSHIL KUMAR MODI,Bhagalpur,BJP,3,Post Graduate,"Rs 34,10,312","Rs 9,35,401"
472,SUSHILA KERKETTA,Khunti,INC,0,Post Graduate,"Rs 33,28,161",Rs 0
473,Susmita Bauri,Vishnupur,CPM,0,Graduate Professional,"Rs 33,000","Rs 10,000"
474,Swadesh Chakrabortty,Howrah,CPM,0,Graduate,"Rs 15,45,667",Rs 0
475,T. K. HAMZA,Manjeri,CPM,0,Graduate Professional,"Rs 7,80,480","Rs 4,34,704"
476,TAPIR GAO,Arunachal East,BJP,0,Post Graduate,"Rs 55,16,640","Rs 50,000"
477,TARACHAND SAHU,Durg,BJP,0,Post Graduate,"Rs 32,05,175","Rs 10,60,847"
478,Tarit Baran Topdar,Barrackpore,CPM,0,Post Graduate,"Rs 94,53,015",Rs 0
479,TASLIMUDDIN,Kishanganj,RJD,9,Literate,"Rs 55,25,834","Rs 10,12,986"
480,TATHAGATA SATAPATHY,Dhenkanal,BJD,5,Others,"Rs 27,75,930",Rs 0
481,TEJASHWINI SEE RAMESH,Kanakapura,INC,0,Post Graduate,"Rs 11,60,000",Rs 0
482,TEK LAL MAHTO,Giridih,JMM,1,Graduate,"Rs 6,25,000",Rs 0
483,THANGKABALU K. V.,Salem,INC,0,Post Graduate,"Rs 5,61,85,835",Rs 0
484,THAWAR CHAND GEHLOT,Shajapur,BJP,0,Graduate,"Rs 20,16,554",Rs 0
485,THUPSTAN CHHEWANG,Ladakh,IND,0,Graduate Professional,"Rs 61,39,045","Rs 2,30,415"
486,TUFANI SAROJ,Saidpur,SP,0,Graduate,"Rs 45,58,332",Rs 0
487,TUKARAM GANPATRAO RENGE PATIL,Parbhani,SHS,13,Post Graduate,"Rs 60,60,000","Rs 19,50,000"
488,UDAY SINGH,Purnea,BJP,0,12th Pass,"Rs 3,06,54,143","Rs 7,31,440"
489,UMAKANT YADAV,Machhlishahr,BSP,8,Post Graduate,"Rs 2,84,62,566",Rs 0
490,USHA VERMA,Hardoi,SP,0,Post Graduate,"Rs 9,76,000","Rs 2,00,000"
491,VAGHELA SHANKERSINH LAXMANSINH,Kapadvanj,INC,0,Post Graduate,"Rs 70,04,174",Rs 0
492,VANLALZAWMA,Mizoram,MNF,0,Post Graduate,"Rs 21,27,713",Rs 0
493,VARKALA RADHAKRISHNAN,Chirayinkil,CPM,0,Graduate Professional,"Rs 7,56,621",Rs 0
494,VARMA RATILAL KALIDAS,Dhandhuka,BJP,0,Post Graduate,"Rs 79,00,277","Rs 38,81,919"
495,VASAVA MANSUKHBHAI DHANJIBHAI,Broach,BJP,0,Post Graduate,"Rs 15,83,619",Rs 0
496,"VELU, R.",Arakkonam,PMK,0,Post Graduate,"Rs 46,10,868","Rs 97,947"
497,VENKATAPATHY. K,Cuddalore,DMK,5,Graduate Professional,"Rs 36,17,839",Rs 0
498,"VENUGOPAL, D.",Tiruppattur,DMK,0,8th Pass,"Rs 76,85,000","Rs 9,94,803"
499,VIJAY KRISHNA,Barh,RJD,1,Post Graduate,"Rs 58,32,524","Rs 27,725"
500,VIJAY KUMAR MALHOTRA,South Delhi,BJP,0,Doctorate,"Rs 89,88,478",Rs 0
501,"VIJAYAN, A. K. S.",Nagapattinam,DMK,0,12th Pass,"Rs 31,91,000","Rs 10,13,614"
502,VIJAYENDRAPAL SINGH,Bhilwara,BJP,0,Graduate,"Rs 2,37,65,671","Rs 2,50,000"
503,VILAS MUTTEMWAR,Nagpur,INC,0,Graduate,"Rs 1,00,20,540","Rs 28,98,977"
504,VINOD KHANNA,Gurdaspur,BJP,0,Graduate,"Rs 8,10,81,889","Rs 12,36,000"
505,VIRCHANDRA PASWAN,Nawada,RJD,0,Post Graduate,"Rs 17,97,522","Rs 1,35,728"
506,VIRENDRA KUMAR,Sagar,BJP,0,Post Graduate,"Rs 14,29,786",Rs 0
507,VIRJIBHAI THUMMAR,Amreli,INC,1,Graduate,"Rs 1,52,27,334","Rs 87,000"
508,VISHNUDEO SAI,Raigarh,BJP,0,12th Pass,"Rs 8,99,500","Rs 70,546"
509,VISHVENDRA SINGH,Bharatpur,BJP,0,12th Pass,"Rs 8,78,94,237","Rs 5,25,000"
510,W. WANGYUH,Nagaland,NPF,0,Post Graduate,"Rs 21,47,000",Rs 0
511,WAGMARE SURESH GANAPAT,Wardha,BJP,0,Graduate,"Rs 4,41,000","Rs 4,47,393"
512,Y. G. MAHAJAN (SIR),Jalgaon,BJP,1,Post Graduate,"Rs 67,19,861",Rs 0
513,Y.S. VIVEKANANDA REDDY,Cuddapah,INC,0,Graduate,"Rs 3,62,27,380",Rs 0
514,ZORA SINGH MAAN,Ferozepur,SAD,1,10th Pass,"Rs 55,61,000","Rs 7,23,000"
