Sno,Candidate?,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1,"""SUDAROLI"" MURUGAN S. B.COM.,",Tirunelveli,IND,0,Not Given,"Rs 54,652","Rs 67,100"
2,(AIDS MAN) PRAKASH TATERAO LANDGE,Nanded,IND,0,Graduate,"Rs 3,50,000",Rs 0
3,A Arokiasamy,Palakkad,IND,0,10th Pass,"Rs 32,000",Rs 0
4,A B SINGH,Chittorgarh,BSP,0,Post Graduate,"Rs 33,47,551",Rs 0
5,A Gumpa Swamy,Araku,IND,0,Illiterate,Nil,Rs 0
6,A K Abdul Nasar,Kozhikode,BSP,0,10th Pass,"Rs 32,72,000",Rs 0
7,A Laxman Rao,Adilabad,IND,0,10th Pass,"Rs 15,60,000",Rs 0
8,A N Radhakrishnan,Ernakulam,BJP,1,Graduate,"Rs 43,01,709","Rs 17,00,000"
9,A. AMARNADH,Chittoor,RKSP,0,Not Given,Nil,Rs 0
10,A. David Raju,Peddapalle,PRAP,1,10th Pass,"Rs 14,60,000",Rs 0
11,A. Fatima,Hyderabad,PRAP,0,Graduate Professional,"Rs 37,000",Rs 0
12,A. HAROON ALI,Lucknow,IND,0,Graduate,"Rs 17,51,500","Rs 34,380"
13,A. Nageshwar Rao,Nalgonda,PPOI,0,Not Given,"Rs 10,43,501",Rs 0
14,A. P. Ahamed,Hassan,BSP,0,5th Pass,"Rs 11,00,000","Rs 3,00,000"
15,A. RAEES A. JABBAR,Nanded,ANC,0,Literate,"Rs 50,000",Rs 0
16,A. RASHID ANSARI,Pratapgarh,MC,1,Graduate,"Rs 17,89,119",Rs 0
17,A.Chandrashekar,Bangalore Central,IND,0,8th Pass,"Rs 1,95,000",Rs 0
18,A.K. GUPTA,South Delhi,SP,0,12th Pass,"Rs 71,40,000",Rs 0
19,A.K. ROY,Dhanbad,MCO,1,Post Graduate,"Rs 61,317",Rs 0
20,A.Kamalamma,Peddapalle,IND,0,Not Given,"Rs 1,55,000",Rs 0
21,A.N.BACHEGOWDA,Chikkballapur,IND,0,5th Pass,Nil,Rs 0
22,A.P.Jithender Reddy,Chevella,TDP,1,Graduate,"Rs 26,76,68,583","Rs 36,21,000"
23,A.S.Paul,Bangalore Central,Akhila India Jananayaka Makkal Katchi (Dr. Is,0,Graduate,"Rs 11,73,000","Rs 6,300"
24,A.T. NANA PATIL,Jalgaon,BJP,0,Graduate,"Rs 10,38,39,607","Rs 92,00,000"
25,A.U.FAROOQ,Nandyal,IND,0,5th Pass,"Rs 10,10,000",Rs 0
26,A.V.Shiva Kumar,Nagarkurnool,IND,0,10th Pass,"Rs 5,00,000","Rs 1,80,000"
27,A.Venkatesh,Nagarkurnool,IND,0,12th Pass,Nil,Rs 0
28,AAMELIYA HANSDA,Rajmahal,RSP,0,8th Pass,"Rs 7,09,222",Rs 0
29,AAMER AHMED MADNI,New Delhi,SP,0,Graduate Professional,"Rs 2,70,000",Rs 0
30,AANANDAN V.S.K.S.,Sivaganga,IND,0,Not Given,Nil,Rs 0
31,AAPPASAHEB RADHAKISAN KUDHEKAR,Jalna,KM,0,12th Pass,"Rs 5,55,000",Rs 0
32,Aaris Mohammed,Nizamabad,IND,0,10th Pass,"Rs 16,554",Rs 0
33,AARON RASHID.J.M,Theni,INC,0,12th Pass,"Rs 24,89,74,573","Rs 21,91,815"
34,AAVID HUSSAIN,Amethi,IND,0,Not Given,"Rs 10,95,200",Rs 0
35,AAWALE JAYWANT GANGARAM,Latur,INC,1,10th Pass,"Rs 3,04,85,766",Rs 0
36,AAWCHARE VIJAYKUMAR BABRUWAN,Latur,IND,0,Post Graduate,"Rs 15,000",Rs 0
37,ABADHESH SHAKYA,Mainpuri,RSMD,0,10th Pass,"Rs 12,30,200",Rs 0
38,ABBAS,Hardwar,IND,0,5th Pass,"Rs 11,76,000",Rs 0
39,Abbas Muthalappara,Kasaragod,IND,0,10th Pass,"Rs 15,000",Rs 0
40,ABBDUL KADIR,Garhwal,IND,0,Literate,"Rs 5,40,593","Rs 5,000"
41,ABDESH BHOOSHAN SRIVASTAVA,Jhansi,IND,1,Not Given,"Rs 2,600",Rs 0
42,Abdu Ramhan,Ponnani,IND,0,Graduate,"Rs 1,900",Rs 0
43,ABDUL AJIJ,Muzaffarnagar,PECP,1,10th Pass,"Rs 1,13,96,086",Rs 0
44,ABDUL AZIZ,Nagaur,BSP,0,Graduate Professional,"Rs 32,03,724",Rs 0
45,ABDUL BASIT,Bijnor,KKJHS,0,Graduate,"Rs 10,92,325",Rs 0
46,ABDUL FARID,Jhalawar-Baran,IND,0,Post Graduate,"Rs 60,000",Rs 0
47,ABDUL GAFFAR,East Delhi,Lok Dal,0,8th Pass,"Rs 2,40,000",Rs 0
48,ABDUL GAFUR GUDDU PIRJI,Khandwa,IND,0,5th Pass,"Rs 4,00,000",Rs 0
49,Abdul Hamid Siddiqui,Bilaspur,IND,0,Others,"Rs 13,05,000",Rs 0
50,Abdul Jaleel,Bangalore North,IND,0,10th Pass,"Rs 10,000",Rs 0
51,ABDUL JALEEL A,Mayiladuthurai,IND,0,8th Pass,"Rs 36,000",Rs 0
52,ABDUL KADDUS,Barpeta,SP,0,10th Pass,"Rs 1,99,000",Rs 0
53,ABDUL KADER,Barpeta,IND,0,Graduate,"Rs 2,14,000",Rs 0
54,Abdul Kareem Khaja Mohammad,Mahbubnagar,LSP,0,Graduate,Nil,Rs 0
55,Abdul Karim Chowdhary,Raiganj,IND,4,Graduate,"Rs 1,43,07,000","Rs 5,81,400"
56,ABDUL MAJEED MALIK,Jammu,BCDP,0,Not Given,"Rs 80,000",Rs 0
57,ABDUL MAJEED OOSI,Vellore,IND,0,Graduate,"Rs 12,12,000","Rs 2,50,192"
58,ABDUL MANNAN HOSSAIN,Murshidabad,INC,1,Graduate,"Rs 17,09,788","Rs 10,06,391"
59,ABDUL MOMIN SEKH,Howrah,IND,0,12th Pass,"Rs 2,20,000",Rs 0
60,ABDUL MUSTAFA,Dhanbad,IND,0,Post Graduate,"Rs 75,000",Rs 0
61,ABDUL QAYYUM,Jhalawar-Baran,BSP,0,Graduate,"Rs 8,11,200",Rs 0
62,ABDUL RAHMAN,Inner Manipur,IND,0,Post Graduate,"Rs 41,27,381",Rs 0
63,ABDUL RAHMAN,Vellore,DMK,0,Graduate,"Rs 1,25,47,128","Rs 32,97,328"
64,ABDUL RAJAK,Jaipur,IND,0,Literate,"Rs 6,56,100",Rs 0
65,ABDUL RAJJAK URF KAL,Kishanganj,IND,0,Literate,"Rs 1,00,000",Rs 0
66,ABDUL RAJJAQ,East Delhi,IND,0,Not Given,"Rs 7,000",Rs 0
67,ABDUL RASHEED,Guna,AD,0,12th Pass,"Rs 21,40,500","Rs 70,000"
68,ABDUL RASHEED SHAIKH,Uttara Kannada,IND,1,Not Given,"Rs 18,20,000",Rs 0
69,ABDUL RASHID,Baghpat,IND,0,Graduate,"Rs 70,000",Rs 0
70,ABDUL RASHID LONE,Srinagar,RPI(A),0,10th Pass,"Rs 3,45,000",Rs 0
71,Abdul Rassaq Moulavi,Palakkad,NCP,0,8th Pass,"Rs 14,07,810",Rs 0
72,ABDUL SAMAD,Chandni Chowk,RPIE,1,10th Pass,"Rs 29,90,000","Rs 4,00,000"
73,ABDUL SAMAD,Bijnor,IND,0,10th Pass,"Rs 2,11,943",Rs 0
74,Abdul Satar,Karakat,IND,0,Graduate Professional,"Rs 5,95,000","Rs 4,89,000"
75,ABDUL SATTAR,Purnia,IND,0,Graduate,"Rs 3,23,000",Rs 0
76,ABDUL SATTAR . G,Nandyal,B. C. United Front,0,10th Pass,"Rs 6,00,000",Rs 0
77,ABDUL SHAMAD KHAN,Chhindwara,IND,0,Graduate,"Rs 17,30,000","Rs 80,000"
78,ABDULBARI SIDDIKI,Madhubani,RJD,1,12th Pass,"Rs 96,11,661","Rs 16,22,144"
79,ABDUR RAHIM,Darbhanga,IND,0,Literate,"Rs 51,00,000",Rs 0
80,Abdur Razzaque,Maldaha Dakshin,CPM,0,Post Graduate,"Rs 15,32,819","Rs 83,327"
81,ABDUR URF ANSARI,Maharajganj,NLHP,0,Post Graduate,"Rs 23,67,000",Rs 0
82,ABDUS SAMAD AHMED,Barpeta,AUDF,2,Post Graduate,"Rs 16,41,461",Rs 0
83,Abdus Sattar Mujahed,Secunderabad,MUL,0,Graduate,"Rs 11,39,000",Rs 0
84,ABHANG KONDIBHAU BHIMAJI,Shirur,IND,0,5th Pass,"Rs 6,09,000","Rs 24,000"
85,Abhay Kumar Anil,Jahanabad,IND,0,Graduate,"Rs 3,18,053","Rs 49,098"
86,ABHAY SINGH,Bhiwani-Mahendragarh,IND,0,10th Pass,"Rs 55,000","Rs 21,950"
87,ABHAY SRIVASTAVA,Allahabad,IND,0,Not Given,"Rs 30,000",Rs 0
88,ABHAYPRATAP SINGH,Firozabad,JBSP,0,Post Graduate,"Rs 2,02,000",Rs 0
89,ABHICHHEDILALYADAV,Unnao,IND,1,12th Pass,"Rs 40,87,000",Rs 0
90,ABHIJIT AATYA VASAVE,Nandurbar,IND,0,Not Given,"Rs 25,000",Rs 0
91,ABHIJIT DAS,Diamond Harbour,BJP,1,Post Graduate,"Rs 10,20,000",Rs 0
92,Abhijit Majumdar,Darjeeling,CPI(ML)(L),0,Post Graduate,"Rs 28,55,000","Rs 6,00,000"
93,ABHIMANI NARENDRA,Bangalore South,IND,0,10th Pass,"Rs 8,65,000",Rs 0
94,Abhimani Narendra,Bangalore Central,IND,0,10th Pass,"Rs 8,65,000",Rs 0
95,ABHINAV MODI,Kishanganj,IND,2,Graduate,"Rs 9,320","Rs 1,03,297"
96,Abhiram Besra,Purulia,JDP,0,10th Pass,"Rs 60,000",Rs 0
97,ABHISHEK,Kairana,IND,0,10th Pass,"Rs 3,60,000",Rs 0
98,ABINASH KISHORE BORAH,Jorhat,RWS,0,10th Pass,"Rs 1,60,000","Rs 2,68,817"
99,Abinash Saren,Purulia,Amra Bangalee,0,Graduate,"Rs 52,000",Rs 0
100,ABU ASIM AZMI,Mumbai North West,SP,7,Graduate,"Rs 1,24,73,88,991","Rs 3,32,56,484"
101,ABU CHAND MAHMMAD,Barpeta,RPI(A),0,Others,"Rs 3,00,000",Rs 0
102,Abu Hasem Khan Choudhury,Maldaha Dakshin,INC,0,Doctorate,"Rs 87,82,797",Rs 0
103,ABUPACKER SITHIK J,Sivaganga,IND,1,Not Given,Nil,Rs 0
104,Acharia Basudeb,Bankura,CPM,0,Post Graduate,"Rs 32,49,037",Rs 0
105,ACHCHHELAL,Lalganj,IND,0,8th Pass,"Rs 1,20,000",Rs 0
106,ACHHEYLAL NISHAD,Jaunpur,NELU,0,Not Given,"Rs 19,95,000",Rs 0
107,AD ARUN R. KEJRIWAL,Mumbai North,IND,0,Post Graduate,"Rs 64,28,110","Rs 35,35,629"
108,AD. ANARYA PUNDALIK PAWAR,Mumbai South Central,BBM,3,Post Graduate,"Rs 3,88,858",Rs 0
109,AD. BAIJNATH KUSHWAHA,Morena,SP,0,Post Graduate,"Rs 2,35,000","Rs 50,000"
110,AD. GULVE RAMNATH SANTUJI,Nashik,IND,0,Not Given,"Rs 2,02,21,552",Rs 0
111,AD. RAJESH YASHVANT BHOSALE,Mumbai South,PPOI,0,Not Given,"Rs 1,08,244",Rs 0
112,AD.KAMAT GURUDAS VASANT,Mumbai North West,INC,0,Graduate Professional,"Rs 6,39,26,963",Rs 0
113,ADAGALE BHAUSAHEB RAMCHANDRA,Pune,IND,0,10th Pass,"Rs 8,31,500","Rs 40,000"
114,ADAGUR H. VISWANATH,Mysore,INC,0,Graduate Professional,"Rs 2,82,91,172","Rs 73,67,061"
115,ADARA BAURI,Bolpur,AUDF,0,5th Pass,Nil,Rs 0
116,Ade Tukaram,Adilabad,BJP,0,10th Pass,"Rs 8,65,000","Rs 3,70,000"
117,ADHAGALE RAJENDRA NAMDEV,Shirdi,IND,0,8th Pass,"Rs 3,06,500",Rs 0
118,ADHALRAO SHIVAJI DATTATRAY,Shirur,SHS,4,Post Graduate,"Rs 12,71,13,134","Rs 1,62,21,275"
119,ADHIKARI SISIR KUMAR,Kanthi,AITC,1,12th Pass,"Rs 10,83,159",Rs 0
120,ADHIKARI SUVENDU,Tamluk,AITC,3,Graduate,"Rs 47,51,934",Rs 0
121,ADHIR RANJAN CHOWDHURY,Baharampur,INC,4,10th Pass,"Rs 2,99,43,557","Rs 19,26,083"
122,ADHIVAKTA SHANKAR PENDAM,Betul,IND,0,Post Graduate,"Rs 61,75,000","Rs 11,000"
123,ADI NARAYANA REDDY .V,Rajampet,BSSP,0,Graduate Professional,"Rs 43,79,300","Rs 11,40,000"
124,Aditya Kisku,Jhargram,IND,0,12th Pass,"Rs 5,80,515",Rs 0
125,ADITYA NATH,Gorakhpur,BJP,2,Graduate,"Rs 21,82,212",Rs 0
126,ADREES AHMAD TABBASUM,Udhampur,CPI,0,Post Graduate,Nil,Rs 0
127,ADSUL ANANDRAO VITHOBA,Amravati,SHS,1,Graduate,"Rs 1,77,08,418",Rs 0
128,ADURAM,Bikaner,Rajasthan Vikas Party,0,Literate,"Rs 25,06,700","Rs 3,00,000"
129,Adv A Sampath,Attingal,CPM,2,Post Graduate,"Rs 89,99,000","Rs 21,50,029"
130,Adv Anu Sasi,Kollam,IND,0,Graduate Professional,"Rs 17,336",Rs 0
131,Adv Biju M John,Idukki,BSP,1,Post Graduate,"Rs 83,43,500",Rs 0
132,Adv Chittoor Rajamannar,Idukki,IND,0,Graduate Professional,"Rs 23,85,027","Rs 7,02,964"
133,Adv E Aboobacker,Malappuram,BSP,0,Graduate Professional,"Rs 1,86,974",Rs 0
134,Adv Jaimon Thankachan,Kottayam,IND,0,Graduate Professional,"Rs 2,16,700","Rs 10,000"
135,Adv Joshy Thakaran,Thrissur,BSP,1,Graduate,"Rs 16,71,800",Rs 0
136,Adv K M Jayanandan,Kollam,BSP,0,Post Graduate,"Rs 25,19,592","Rs 2,10,000"
137,Adv K Noorudheen Musaliar,Vadakara,BSP,0,Graduate,"Rs 1,07,41,000",Rs 0
138,Adv K V Sabu,Chalakudy,BJP,0,Graduate Professional,"Rs 35,81,000","Rs 5,00,000"
139,Adv Kumaran Kutty,Kozhikode,IND,0,Graduate Professional,"Rs 1,26,46,330","Rs 3,098"
140,Adv N Aravindan,Malappuram,BJP,0,Post Graduate,"Rs 16,81,000","Rs 8,36,879"
141,Adv N Hariharan Nair,Thrissur,IND,0,Graduate Professional,"Rs 1,83,00,000","Rs 2,30,000"
142,Adv P A Mohamed Riyas,Kozhikode,CPM,0,10th Pass,"Rs 13,000",Rs 0
143,Adv P Satheedevi,Vadakara,CPM,1,Graduate Professional,"Rs 19,68,782",Rs 0
144,Adv P T Thomas,Idukki,INC,0,Post Graduate,"Rs 39,84,094","Rs 4,48,284"
145,Adv Ramachandran Nair P,Thiruvananthapuram,CPI,0,Graduate Professional,"Rs 21,57,292","Rs 6,38,195"
146,Adv Sabi Joseph,Kozhikode,IND,0,Graduate Professional,"Rs 7,63,738",Rs 0
147,Adv Shanavas Malappuram,Wayanad,IND,0,Graduate Professional,"Rs 15,500",Rs 0
148,Adv Suresh Kurup,Kottayam,CPM,0,Graduate Professional,"Rs 38,66,004","Rs 11,250"
149,Adv U P Joseph,Chalakudy,CPM,0,Graduate Professional,"Rs 36,24,789","Rs 5,30,615"
150,ADV. BABASAHEB SADSHIVRAO GAIKWAD,Latur,BSP,0,Graduate Professional,"Rs 67,27,491","Rs 19,99,642"
151,ADV. BANSODE SHARAD MARUTI,Solapur,BJP,0,Graduate Professional,"Rs 2,30,38,727",Rs 0
152,ADV. BHAUSAHEB ANIL BELURE (BEMBLIKAR),Osmanabad,IND,0,Graduate Professional,"Rs 50,000",Rs 0
153,ADV. C.S. BAHETI,Nanded,JP,0,Post Graduate,"Rs 74,34,500","Rs 4,13,333"
154,ADV. CHINTAMAN NAVSHA VANGA,Palghar,BJP,0,Graduate Professional,"Rs 16,58,267","Rs 1,22,332"
155,ADV. DADMAL PRABHAKAR MAHAGUJI,Gadchiroli-Chimur,PRBP,0,Post Graduate,"Rs 15,06,000","Rs 60,326"
156,ADV. DHANANJAY SHAMLALJI RAJABHOJ,Bhandara-Gondiya,IND,0,Post Graduate,"Rs 16,10,000",Rs 0
157,ADV. DUDHGAONKAR GANESHRAO NAGORAO,Parbhani,SHS,0,Graduate Professional,"Rs 2,81,11,720",Rs 0
158,ADV. DUPARE ULHAS SHALIKRAM,Ramtek,IND,0,Graduate Professional,"Rs 1,55,000",Rs 0
159,ADV. GAJANAN SADASHIV KAWALE,Nagpur,RP(K),0,Graduate Professional,"Rs 16,41,000",Rs 0
160,ADV. HAZARE DATTABHAU KRUSHNARAO,Chandrapur,BSP,0,Graduate Professional,"Rs 62,19,000","Rs 5,15,000"
161,Adv. K Francis George,Idukki,KEC,0,Graduate Professional,"Rs 73,00,123","Rs 20,48,387"
162,ADV. KASABEKAR SHRIDHAR LIMBAJI,Solapur,RSPS,0,Graduate Professional,"Rs 10,22,756","Rs 9,400"
163,ADV. MATIN AHMED,Jalgaon,BSP,1,Graduate Professional,"Rs 20,000",Rs 0
164,ADV. NARENDRA KESHAV SAWAIKAR,South Goa,BJP,0,Graduate Professional,"Rs 34,83,623",Rs 0
165,ADV. PRAVIN MADHUKAR THAKUR,Raigad,IND,1,Graduate Professional,"Rs 4,55,59,529","Rs 6,34,195"
166,ADV. RAJU MANGESHKAR ALIAS RAJENDRA NAIK,South Goa,CPI,0,Post Graduate,"Rs 31,14,150","Rs 99,614"
167,ADV. RAMRAO PANDURANG WAGHMARE,Nanded,IND,0,Literate,"Rs 80,000",Rs 0
168,ADV. SUDHIR HIRAMAN TAYADE,Amravati,IND,0,Graduate Professional,Nil,Rs 0
169,ADV. UPASHA BANSI TAYWADE,Nagpur,IND,0,Post Graduate,"Rs 5,40,000",Rs 0
170,ADV. VASANTA UMRE,Nagpur,DPI,0,Post Graduate,"Rs 15,17,500",Rs 0
171,ADV. VASANTRAO JIVANRAO MORE,Jalgaon,NCP,1,Graduate Professional,"Rs 1,50,21,341","Rs 17,81,904"
172,ADV. YUVRAJ ANANDRAOJI BAGDE,Ramtek,IND,1,Post Graduate,"Rs 50,000",Rs 0
173,ADV.B.M.KAUSHIK,Hoshangabad,BSP,0,Graduate Professional,"Rs 13,25,500",Rs 0
174,ADV.NATKAR RAMRAO SHESHRAO,Beed,IND,3,Post Graduate,"Rs 33,22,517",Rs 0
175,ADV.S.S.SALVE RETIRED JUDGE,Kalyan,BBM,0,Post Graduate,"Rs 44,50,000","Rs 26,000"
176,ADV.SHIVSHANKAR DATTATRAY SHINDE,Maval,KM,0,Graduate Professional,"Rs 20,00,000","Rs 75,000"
177,ADV.SUBHASH NARHAR GODSE,Pune,IND,0,Graduate,"Rs 2,05,720",Rs 0
178,ADVOCATE AZHAR UL ALIM,Balaghat,IND,0,Post Graduate,"Rs 79,46,200","Rs 2,50,000"
179,ADVOCATE MOULVI ZAMEERUDDIN,Bidar,NDEP,0,Not Given,"Rs 21,000","Rs 3,50,500"
180,ADVOCATE PRAMOD MAHADEV GORE,Maval,IND,0,Graduate,"Rs 51,55,000",Rs 0
181,ADVOCATE RAMESHWAR NEEKHRA,Jabalpur,INC,0,Post Graduate,"Rs 2,86,28,500",Rs 0
182,ADVOCATE TUKARAM WAMANRAO BANSODE,Maval,IND,0,Post Graduate,"Rs 5,61,092",Rs 0
183,AdvocateT R Nirala,Bilaspur,BSP,0,Post Graduate,"Rs 8,05,000","Rs 1,00,000"
184,AFROZ HUSNA. K.S,Tiruvannamalai,LJP,0,12th Pass,"Rs 4,47,831","Rs 83,203"
185,AFZAL ANSARI,Ghazipur,BSP,3,Post Graduate,"Rs 4,58,44,836",Rs 0
186,AGAM LAL MAHTO,Ranchi,IND,0,12th Pass,"Rs 39,00,000",Rs 0
187,AGATHA K. SANGMA,Tura,NCP,0,Post Graduate,"Rs 66,44,295",Rs 0
188,AGNISHREENIVAS.Y.E,Bangalore Rural,IND,0,Graduate,"Rs 1,05,000",Rs 0
189,AHAMED HUSSAIN,Kanpur,IND,1,Not Given,"Rs 5,379",Rs 0
190,AHIR HANSARAJ GANGARAM,Chandrapur,BJP,30,10th Pass,"Rs 80,84,050","Rs 2,62,243"
191,AHIR KAMLA YADAV,Damoh,SP,0,Literate,"Rs 52,50,000",Rs 0
192,AHIRWAR GYADIN,Tikamgarh,IND,1,12th Pass,"Rs 12,85,715","Rs 97,500"
193,AHIRWAR JAGDISH PRASAD,Tikamgarh,LJP,0,Graduate,"Rs 37,000",Rs 0
194,AHIRWAR LAKHANLAL PURVI,Bhopal,RPI(A),0,8th Pass,"Rs 2,35,000",Rs 0
195,AHIRWAR NARESH BOUDHA,Sagar,BSP,5,Post Graduate,"Rs 12,05,000","Rs 80,200"
196,AHIRWAR RAMSWAROOP,Tikamgarh,IND,0,Not Given,"Rs 4,60,521",Rs 0
197,AHIRWAR VRINDAVAN,Tikamgarh,INC,0,12th Pass,"Rs 1,63,000",Rs 0
198,Ahitosh Maity,Ghatal,RDMP,0,Post Graduate,"Rs 18,37,500","Rs 1,808"
199,AHMAD AFJAL SHAIKH,Thane,IND,0,10th Pass,"Rs 3,37,000",Rs 0
200,AHMAD ASHFAQUE KARIM,Katihar,LJP,0,Graduate,"Rs 3,37,33,000","Rs 54,44,000"
201,AHMAD RAZA,Muzaffarpur,IND,0,Literate,"Rs 1,50,150",Rs 0
202,AHMED MARECAR M.H,Mayiladuthurai,IND,0,10th Pass,Nil,Rs 0
203,AIJAZ AHMED FAROOQI,Hassan,IND,0,12th Pass,"Rs 7,70,000","Rs 4,00,000"
204,AJAB LAL,Balaghat,BSP,0,Graduate,"Rs 4,25,000",Rs 0
205,AJAB SINGH,Kannauj,Akhil Bharatiya Ashok Sena,0,12th Pass,"Rs 25,55,500",Rs 0
206,AJAB SINGH KUSHWAH,Gwalior,BSP,1,Not Given,"Rs 44,06,000",Rs 0
207,AJABRAO UTTAMRAO BHONGADE,Akola,IND,0,Graduate,"Rs 1,07,000","Rs 1,54,000"
208,AJAS NOORMINYA,Hingoli,DESEP,0,10th Pass,"Rs 60,000",Rs 0
209,AJAY AGARWAL,Meerut,Samajwadi Janata Party (Rashtriya),0,Graduate Professional,"Rs 3,34,25,000","Rs 25,487"
210,AJAY ALIAS AABA DADA JADHAV,Ratnagiri Sindhudurg,KKJHS,0,Others,"Rs 7,19,500","Rs 16,000"
211,AJAY CHAKRABORTY,Basirhat,CPI,0,Graduate,"Rs 1,53,89,448",Rs 0
212,AJAY GOYAL,Chandigarh,IND,0,Graduate Professional,"Rs 17,73,52,496",Rs 0
213,Ajay Jaiswal,Rajnandgaon,IND,1,8th Pass,"Rs 15,02,000",Rs 0
214,AJAY KASYAP - GUDDU,Jaunpur,IND,0,Literate,"Rs 9,60,500",Rs 0
215,AJAY KATHURIA,Hardwar,IND,0,Post Graduate,"Rs 1,57,985",Rs 0
216,AJAY KUMAR,Kheri,BJP,2,Graduate Professional,"Rs 1,53,25,070","Rs 15,60,020"
217,AJAY KUMAR,Faizabad,KKJHS,0,12th Pass,"Rs 5,40,000",Rs 0
218,Ajay Kumar,Karakat,RPI(A),0,Graduate,"Rs 3,25,000",Rs 0
219,AJAY KUMAR,Gorakhpur,IND,0,12th Pass,"Rs 45,600",Rs 0
220,AJAY KUMAR JALAN,Darbhanga,INC,1,Graduate,"Rs 37,27,735","Rs 90,000"
221,AJAY KUMAR PANDEY,Sheohar,IND,0,10th Pass,"Rs 1,02,000",Rs 0
222,AJAY KUMAR SINGH,Mainpuri,IND,0,Graduate,"Rs 40,000","Rs 3,400"
223,Ajay kumar Verma,Jahanabad,IND,0,10th Pass,"Rs 17,18,000","Rs 6,00,000"
224,AJAY MAKAN,New Delhi,INC,1,Post Graduate,"Rs 4,01,48,040","Rs 97,120"
225,AJAY MITTAL,Chandni Chowk,AIFB,2,12th Pass,"Rs 3,26,200",Rs 0
226,Ajay Pali,Rajnandgaon,IND,0,5th Pass,"Rs 1,30,000","Rs 5,00,000"
227,AJAY PRAKASH HARIT,New Delhi,IND,0,12th Pass,"Rs 29,36,586",Rs 0
228,AJAY PRATAP SINGH,Aonla,IND,0,Not Given,Rs 31,Rs 0
229,AJAY RAI,Varanasi,SP,4,Graduate,"Rs 55,13,025",Rs 0
230,AJAY RAWAT,Dhar,BSP,0,Graduate,"Rs 1,16,000",Rs 0
231,AJAY SHANKER,Mirzapur,GMS,0,Others,Nil,Rs 0
232,AJAY SINGH,Asansol,BSP,0,12th Pass,"Rs 53,200",Rs 0
233,AJAY SINGH,Bhiwani-Mahendragarh,IND,0,Graduate,"Rs 83,355",Rs 0
234,AJAY SINGH CHAUTALA,Bhiwani-Mahendragarh,INLD,1,Post Graduate,"Rs 29,97,16,920","Rs 43,82,149"
235,AJAY TAMTA,Almora,BJP,0,12th Pass,"Rs 5,11,000","Rs 4,30,663"
236,AJAY TANDON,Ludhiana,IND,0,10th Pass,"Rs 1,32,000",Rs 0
237,AJAY VASANT PAITHANKAR,Pune,IND,0,Graduate,"Rs 30,36,382","Rs 4,00,000"
238,Ajayakumar Kuttikkat,Thrissur,JD(U),3,12th Pass,"Rs 2,20,000",Rs 0
239,AJAYKUMAR DINESHKUMAR PATEL,Surat,BSP,0,Post Graduate,"Rs 6,24,821","Rs 3,69,000"
240,AJAYPAL,Sikar,IND,0,10th Pass,"Rs 16,68,470","Rs 1,09,000"
241,AJEET KUMAR,Jamshedpur,BSP,0,Graduate,"Rs 26,34,938","Rs 3,49,714"
242,AJEET MANI,Maharajganj,SP,0,Doctorate,"Rs 1,97,09,687","Rs 6,75,417"
243,AJEET SINGH,Badaun,PDFO,1,Post Graduate,"Rs 55,000",Rs 0
244,AJEYA SINGH,Fatehpur,JM,0,Graduate Professional,"Rs 26,94,51,168",Rs 0
245,AJIM AHMED KHAN AJIJ KHAN,Parbhani,DESEP,0,Graduate,"Rs 60,000",Rs 0
246,AJIM GANI SHEKH,Bhiwandi,RKSP,0,8th Pass,"Rs 2,10,000",Rs 0
247,AJIT KUMAR JAIN (PATWA),Indore,IND,0,8th Pass,"Rs 6,60,000",Rs 0
248,Ajit Kumar Jena,Jajpur,Samruddha Odisha,0,Post Graduate,"Rs 7,51,091",Rs 0
249,Ajit Kumar Nayak,Kandhamal,IND,0,Graduate,"Rs 35,500",Rs 0
250,Ajit Prasad Mahato,Purulia,JMM,5,Graduate,"Rs 3,93,866",Rs 0
251,AJIT SINGH,Baghpat,RLD,0,Post Graduate,"Rs 5,82,32,462","Rs 13,077"
252,Ajith Kumar K,Thiruvananthapuram,IND,0,12th Pass,"Rs 60,000",Rs 0
253,AJITRAO SHANKARRAO GHORPADE,Sangli,IND,0,Graduate,"Rs 1,88,06,550",Rs 0
254,AJITSINH HARISINH JADEJA,Rajkot,IND,0,Literate,"Rs 10,73,745","Rs 80,000"
255,AJMER SINGH,Sangrur,IND,1,8th Pass,"Rs 1,20,000",Rs 0
256,AJUG NARAIN,Allahabad,IND,0,Literate,"Rs 1,25,000",Rs 0
257,AKANCHHA JAIN,Khajuraho,IND,0,Literate,"Rs 20,000",Rs 0
258,Akay Suryanarayana,Kakinada,IND,0,8th Pass,Nil,Rs 0
259,AKBAL MOHAMMD,Allahabad,IND,0,8th Pass,"Rs 5,59,000",Rs 0
260,AKBAR AHMED DUMMPY,Azamgarh,BSP,3,Graduate,"Rs 2,90,35,830",Rs 0
261,AKEEL KHAN,Khajuraho,IND,0,10th Pass,"Rs 55,000",Rs 0
262,AKHIL AHMED,Shimoga,IND,0,Graduate,"Rs 15,13,500","Rs 1,05,000"
263,Akhil Ranjan Mondal,Raiganj,BSP,0,Graduate,"Rs 77,50,000",Rs 0
