Sno,Candidate?,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
2197,GOMAT SINGH MAHARAJ SINGH DANGI,Sagar,IND,0,Literate,"Rs 62,15,000","Rs 2,00,000"
2198,GOPAL,Bahraich,SBSP,0,Graduate Professional,"Rs 3,45,000",Rs 0
2199,GOPAL BHAIYA,Damoh,IND,0,10th Pass,"Rs 30,000",Rs 0
2200,Gopal Chandra Kar,Cuttack,BSP,1,Graduate Professional,"Rs 1,73,71,963",Rs 0
2201,GOPAL ORAON,Lohardaga,IND,0,12th Pass,"Rs 24,06,000",Rs 0
2202,GOPAL R,Madurai,IND,0,8th Pass,"Rs 33,000",Rs 0
2203,GOPAL RAGHUNATH JAMSANDEKAR,Mumbai North,IND,0,8th Pass,"Rs 1,40,908",Rs 0
2204,GOPAL RAM,Almora,RPI(A),0,Illiterate,"Rs 7,75,000",Rs 0
2205,GOPAL RAM,Jalore,IND,1,5th Pass,"Rs 34,42,000",Rs 0
2206,GOPAL ROUT,Barrackpur,IND,5,8th Pass,"Rs 8,000",Rs 0
2207,GOPAL SAINI,Mathura,IND,0,5th Pass,"Rs 54,000",Rs 0
2208,GOPAL SINGH,Rajsamand,INC,0,Graduate Professional,"Rs 41,06,255","Rs 4,89,648"
2209,GOPAL SWROOP JOSHI,Allahabad,IND,0,Graduate,"Rs 10,95,000",Rs 0
2210,GOPALAKRISHNAN C,Vellore,IND,0,Graduate Professional,"Rs 54,77,600","Rs 8,20,500"
2211,Gopesh Chandra Sarkar,Raiganj,BJP,0,Doctorate,"Rs 36,23,491","Rs 40,381"
2212,GOPI KRISHAN,Churu,IND,0,10th Pass,"Rs 6,25,000",Rs 0
2213,GOPINATH V,Chennai South,DMDK,0,Graduate Professional,"Rs 3,09,99,000",Rs 0
2214,GORA CHAND KOLEY,Howrah,IND,0,8th Pass,"Rs 10,45,000","Rs 75,000"
2215,GORAKH PRASAD JAISWAL,Deoria,BSP,0,10th Pass,"Rs 2,42,17,040",Rs 0
2216,GORAKHNATH,Bhadohi,BSP,0,Post Graduate,"Rs 1,01,58,748","Rs 4,33,968"
2217,GORAV,Rohtak,IND,1,Post Graduate,"Rs 1,03,10,000",Rs 0
2218,GORDHANBHAI PRAGJIBHAI ZADAPHIA,Bhavnagar,MJP,0,Post Graduate,"Rs 81,91,743","Rs 25,42,721"
2219,Gorre Ramesh,Peddapalle,IND,0,Graduate Professional,"Rs 3,00,000",Rs 0
2220,GORREMUCHU CHINNA RAO,Bapatla,IND,0,5th Pass,"Rs 2,58,000","Rs 1,10,985"
2221,GOSWAMI VISHWA BHUSHAN BHARTI,Chandigarh,JD(U),0,12th Pass,"Rs 1,01,000",Rs 0
2222,Gotam Lal Meena,Udaipur,CPI(ML)(L),0,Not Given,"Rs 48,300",Rs 0
2223,GOURI SINGH YADAV,Sagar,SP,0,8th Pass,"Rs 1,31,04,000","Rs 48,00,000"
2224,GOUSIA BEGUM,Koppal,IND,0,10th Pass,"Rs 75,000",Rs 0
2225,GOUTAM DAS,Asansol,LJP,0,12th Pass,"Rs 2,21,298","Rs 33,568"
2226,GOUTAM GAYEN,Howrah,IND,0,8th Pass,"Rs 7,000",Rs 0
2227,GOVANAM THANGAVEL K S,Salem,IND,0,Literate,"Rs 2,25,000",Rs 0
2228,GOVANAM THANGAVEL.K.S.,Erode,IND,0,Literate,"Rs 2,25,000",Rs 0
2229,GOVARDHAN CHANGO BHAGAT,Kalyan,IND,3,8th Pass,"Rs 5,66,77,052","Rs 27,00,000"
2230,GOVARDHAN PATLE URF HITLAR,Balaghat,IND,0,5th Pass,"Rs 20,000",Rs 0
2231,GOVIND,Sitapur,KKJHS,0,Post Graduate,"Rs 8,92,623",Rs 0
2232,GOVIND,Gorakhpur,IND,0,Illiterate,"Rs 42,02,000",Rs 0
2233,GOVIND ACHARAY,Darbhanga,IND,0,10th Pass,"Rs 3,90,384",Rs 0
2234,GOVIND LAL MARANDI,Godda,RSP,0,10th Pass,"Rs 12,599","Rs 60,000"
2235,GOVIND PRASAD MISHRA,Sidhi,BJP,0,Graduate Professional,"Rs 51,87,425",Rs 0
2236,GOVIND RAM MEGHWAL,Bikaner,BSP,0,Not Given,"Rs 64,06,595","Rs 27,82,337"
2237,GOVIND SINGH,Kota,BSP,0,10th Pass,"Rs 58,47,000","Rs 10,00,000"
2238,GOVINDARAJAN K M,Kallakurichi,Akila India Vallalar Peravai,0,Not Given,"Rs 9,50,000",Rs 0
2239,GOVINDARAJI P V,Vellore,SP,0,12th Pass,"Rs 27,50,000",Rs 0
2240,GOVINDASAMY. P,Tiruvannamalai,BSP,0,Post Graduate,"Rs 28,82,824",Rs 0
2241,GOVINDBHAI JIVABHAI DAFDA,Kachchh,IND,1,Literate,"Rs 7,66,700","Rs 32,000"
2242,GOVINDBHAI LALJIBHAI PADHIYAR,Jamnagar,IND,0,Literate,Rs 300,Rs 0
2243,GOVINDBHAI LAXMANBHAI RATHOD,Navsari,IND,0,Illiterate,"Rs 6,60,000","Rs 50,000"
2244,GOVINDHASAMY.P.,Erode,IND,0,5th Pass,"Rs 30,580",Rs 0
2245,GOWSIA BASHIR,Baramulla,IND,0,Graduate,"Rs 2,10,50,000",Rs 0
2246,GRIDHARI YADAV,Banka,INC,0,Post Graduate,"Rs 68,37,392","Rs 3,58,535"
2247,GUBBALA TAMMAIAH,Narsapuram,PRAP,0,Doctorate,"Rs 58,69,653","Rs 8,25,248"
2248,GUDDU PREMCHAND,Ujjain,INC,3,5th Pass,"Rs 10,50,31,313","Rs 15,00,000"
2249,GUDIPALLI SATHYA BABUJI,Bapatla,IND,0,Graduate,"Rs 39,00,000",Rs 0
2250,GUFRAN AHMED,Kanpur,RWSP,0,12th Pass,"Rs 7,00,000",Rs 0
2251,GULAB,Robertsganj,PDFO,2,Others,"Rs 25,47,000",Rs 0
2252,GULAB CHANDRA,Kaushambi,IND,0,5th Pass,"Rs 1,50,000",Rs 0
2253,GULAB CHANDRA PASWAN,Jamui,RKJP,0,Graduate,"Rs 1,00,000",Rs 0
2254,GULAB GRAMEEN,Allahabad,Lok Dal,0,12th Pass,"Rs 25,300",Rs 0
2255,GULAB RAJ,Khagaria,IND,3,Graduate Professional,"Rs 3,21,500",Rs 0
2256,GULAB SINGH,Hisar,NELU,0,5th Pass,"Rs 20,70,000","Rs 20,000"
2257,GULAB SONKAR,Kaushambi,IJP,0,Graduate,"Rs 2,43,000",Rs 0
2258,GULAB TATYA WAGHMODE,Pune,BBM,0,Post Graduate,"Rs 26,77,000","Rs 9,06,000"
2259,GULABRAV,Betul,RDMP,0,10th Pass,"Rs 11,25,000",Rs 0
2260,GULAM RASOOL SHAH,Baramulla,JKANC,0,10th Pass,"Rs 17,37,000",Rs 0
2261,GULAM SABIR,Faizabad,NBNP,0,5th Pass,"Rs 18,64,000","Rs 10,00,000"
2262,GULAMMOHAMMAD ABDULKARIM MALIK,Anand,IND,0,Literate,"Rs 83,792",Rs 0
2263,GULMOHAMMAD ISMAIL KHOKHHOR,Amreli,IND,0,10th Pass,Nil,Rs 0
2264,GULZAR,Baghpat,Ambedkar Samaj Party,0,5th Pass,"Rs 53,03,347","Rs 2,23,846"
2265,Gummadi Pullaiah,Mahabubabad,BSP,0,Graduate,"Rs 4,00,000",Rs 0
2266,GUNASEKARAN N,Mayiladuthurai,CPI(ML)(L),0,Not Given,Nil,Rs 0
2267,GUNASEKARAN P,Sivaganga,IND,0,Not Given,Nil,Rs 0
2268,"GUNASEKARAN, A.",Perambalur,IND,0,Post Graduate,"Rs 71,500",Rs 0
2269,GUNASEKARAN. D,Dharmapuri,MMKA,0,Post Graduate,"Rs 2,70,000",Rs 0
2270,GUNASEKARAN.K,Tiruchirappalli,Akila India Vallalar Peravai,0,10th Pass,"Rs 2,000",Rs 0
2271,GUNASEKARAN.M,Chennai Central,IND,0,Graduate Professional,"Rs 3,33,000",Rs 0
2272,GUNDEKAR SANJAY ADELU,Hingoli,IND,0,Not Given,Nil,Rs 0
2273,GUNIN HAZARIKA,Kaliabor,AGP,0,Post Graduate,"Rs 84,83,272","Rs 1,34,950"
2274,GUNWANT LAL SHARMA,Chittorgarh,IND,0,Graduate Professional,"Rs 69,76,000","Rs 2,90,000"
2275,GUNWANT TUKARAMJI DAWANDE,Wardha,IND,0,Graduate,"Rs 72,000","Rs 35,200"
2276,GURAV KALYAN BHANUDAS,Beed,RKSP,1,10th Pass,Nil,Rs 0
2277,GURCHARAN SINGH,Ludhiana,IND,0,10th Pass,Nil,Rs 0
2278,GURCHARAN SINGH GALIB,Ludhiana,SAD,0,12th Pass,"Rs 3,52,95,747","Rs 26,00,000"
2279,GURDAN SINGH,Jodhpur,JKNPP,0,8th Pass,"Rs 4,80,000",Rs 0
2280,GURDAYAL,Alwar,IND,0,Graduate,"Rs 15,95,000","Rs 1,25,000"
2281,GURDAYAL SINGH,Kurukshetra,BSP,0,10th Pass,"Rs 2,13,92,000","Rs 4,00,000"
2282,GURDEV SINGH,Firozpur,BSP,0,Graduate Professional,"Rs 1,07,32,000","Rs 1,57,500"
2283,GURINDER SINGH SOOD,Ludhiana,JKNPP,0,Not Given,"Rs 1,62,38,000","Rs 4,10,000"
2284,GURJIT SINGH,Khadoor Sahib,IND,0,8th Pass,"Rs 18,66,997","Rs 88,000"
2285,GURMEET SINGH,Gurdaspur,IND,0,12th Pass,"Rs 60,48,761","Rs 5,00,000"
2286,GURMEET SINGH RANGHRETA,Faridkot,PLP,1,12th Pass,"Rs 20,00,000","Rs 1,00,000"
2287,GURNAM SINGH CHANDEL,Shimla,SP,0,8th Pass,"Rs 50,000","Rs 20,00,000"
2288,GURPAL SINGH,Firozpur,IND,0,Post Graduate,"Rs 1,60,08,000","Rs 11,00,000"
2289,GURPREET SINGH,Faridkot,IND,0,10th Pass,"Rs 33,500","Rs 16,000"
2290,GURPREET SINGH KHANNA,Gurdaspur,BGTD,0,12th Pass,"Rs 12,86,000","Rs 32,000"
2291,GURU (A) GURUMOORTHY S,Tiruvannamalai,IND,0,12th Pass,"Rs 18,500",Rs 0
2292,GURU C,Tiruvannamalai,IND,0,8th Pass,"Rs 3,02,000",Rs 0
