pc_name,pc_no,pc_type,st_name,year,cand_name,cand_sex,partyname,partyabbre,totvotpoll,electors
Agra,25,GEN,Uttar Pradesh,2009,Naseeb,M,Independent,IND,1417,740782
Agra,25,GEN,Uttar Pradesh,2009,Mahendra Kumar,M,Independent,IND,1768,740782
Agra,25,GEN,Uttar Pradesh,2009,Kunwar Brijesh Singh,M,Doordarshi Party,DDP,2002,740782
Agra,25,GEN,Uttar Pradesh,2009,Atam Prakash,M,Independent,IND,2975,740782
Agra,25,GEN,Uttar Pradesh,2009,Maneka Gandhi,F,Independent,IND,50163,740782
Agra,25,GEN,Uttar Pradesh,2009,Rajiv Gandhi,M,Indian National Congress,INC,365041,740782
Agra,26,GEN,Uttar Pradesh,2009,Sheo Narain Pandey,M,Independent,IND,562,758038
Agra,26,GEN,Uttar Pradesh,2009,Gobardhan Das,M,Independent,IND,946,758038
Agra,26,GEN,Uttar Pradesh,2009,Mathura Prasad,M,Independent,IND,1137,758038
Agra,26,GEN,Uttar Pradesh,2009,Ram Avadh Mishra,M,Independent,IND,1186,758038
Agra,26,GEN,Uttar Pradesh,2009,Surendra Kumar,M,Independent,IND,1198,758038
Agra,26,GEN,Uttar Pradesh,2009,Tribhawan Nath,M,Independent,IND,1548,758038
Agra,26,GEN,Uttar Pradesh,2009,Ram Bodh,M,Independent,IND,1712,758038
Agra,26,GEN,Uttar Pradesh,2009,Mohd. Mustakim,M,Independent,IND,1902,758038
Agra,26,GEN,Uttar Pradesh,2009,Tarkeshwar,M,Independent,IND,1977,758038
Agra,26,GEN,Uttar Pradesh,2009,Bhagoley,M,Independent,IND,2218,758038
Agra,26,GEN,Uttar Pradesh,2009,Mani Ram,M,Independent,IND,2592,758038
Agra,26,GEN,Uttar Pradesh,2009,Surya Bali Singh,M,Doordarshi Party,DDP,2666,758038
Agra,26,GEN,Uttar Pradesh,2009,Ashok Kumar Upadhiya,M,Independent,IND,3428,758038
Agra,26,GEN,Uttar Pradesh,2009,Jamil Ahmad Khan,M,Independent,IND,3600,758038
